Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:19:34 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,TN,,,,,,,0,0,,,
Admin,2020-12-14,TN,42,41,1058,928,464,529,,,1,133,66
Report,2020-12-14,TN,,,,,,,0,0,,,
Admin,2020-12-15,TN,92,91,1150,1019,340,383,,,2,135,45
Report,2020-12-15,TN,,,,,,,0,0,,,
Admin,2020-12-16,TN,90,88,1240,1107,277,310,,,1,136,34
Report,2020-12-16,TN,,,,,,,0,0,,,
Admin,2020-12-17,TN,2243,2232,3483,3339,668,696,,,10,146,29
Report,2020-12-17,TN,,,,,,,0,0,,,
Admin,2020-12-18,TN,9302,9201,12785,12540,2090,2130,,,93,239,39
Report,2020-12-18,TN,,,,,,,0,0,,,
Admin,2020-12-19,TN,8297,7912,21082,20452,2922,3011,,,377,616,88
Report,2020-12-19,TN,,,,,,,339,48,,,
Admin,2020-12-20,TN,5992,5872,27074,26324,3634,3722,,,118,734,86
Report,2020-12-20,TN,,,,,,,4447,684,,,
Admin,2020-12-21,TN,9538,9417,36612,35741,4973,5079,,,110,844,101
Report,2020-12-21,TN,,,,,,,5138,1418,,,
Admin,2020-12-22,TN,11140,11017,47752,46758,6534,6657,,,119,963,118
Report,2020-12-22,TN,,,,,,,11527,3064,,,
Admin,2020-12-23,TN,20818,20592,68570,67350,9463,9618,,,212,1175,148
Report,2020-12-23,TN,,,,,,,7975,4204,,,
Admin,2020-12-24,TN,4938,4905,73508,72255,9845,10003,,,32,1207,151
Report,2020-12-24,TN,,,,,,,15728,6451,,,
Admin,2020-12-25,TN,749,742,74257,72997,8637,8781,,,7,1214,139
Report,2020-12-25,TN,,,,,,,6398,7365,,,
Admin,2020-12-26,TN,4891,4847,79148,77844,8199,8295,,,38,1252,90
Report,2020-12-26,TN,,,,,,,876,7441,,,
Admin,2020-12-27,TN,2228,2210,81376,80054,7676,7757,,,13,1265,75
Report,2020-12-27,TN,,,,,,,4179,7403,,,
Admin,2020-12-28,TN,15108,14910,96484,94964,8460,8553,,,174,1439,85
Report,2020-12-28,TN,,,,,,,0,6669,,,
Admin,2020-12-29,TN,15869,15649,112353,110613,9122,9228,,,190,1629,95
Report,2020-12-29,TN,,,,,,,2513,5381,,,
Admin,2020-12-30,TN,29504,29112,141857,139725,10339,10469,,,359,1988,116
Report,2020-12-30,TN,,,,,,,17192,6698,,,
Admin,2020-12-31,TN,8230,8070,150087,147795,10791,10939,,,133,2121,130
Report,2020-12-31,TN,,,,,,,11026,6026,,,
Admin,2021-01-01,TN,5116,4411,155203,152206,11316,11563,,,694,2815,228
Report,2021-01-01,TN,,,,,,,24998,8683,,,
Admin,2021-01-02,TN,31373,31006,186576,183212,15053,15346,,,236,3051,257
Report,2021-01-02,TN,,,,,,,9879,9970,,,
Admin,2021-01-03,TN,2565,2491,189141,185703,15093,15395,,,71,3122,265
Report,2021-01-03,TN,,,,,,,3155,9823,,,
Admin,2021-01-04,TN,15125,14594,204266,200297,15048,15397,,,493,3615,310
Report,2021-01-04,TN,,,,,,,27146,13701,,,
Admin,2021-01-05,TN,16125,15007,220391,215304,14956,15434,,,1083,4698,438
Report,2021-01-05,TN,,,,,,,1668,13581,,,
Admin,2021-01-06,TN,22186,18977,242577,234281,13508,14388,,,2971,7669,811
Report,2021-01-06,TN,,,,,,,12205,12868,,,
Admin,2021-01-07,TN,18028,13364,260605,247645,14264,15788,,,4464,12133,1430
Report,2021-01-07,TN,,,,,,,13422,13210,,,
Admin,2021-01-08,TN,21660,12882,282265,260527,15474,18151,,,8402,20535,2531
Report,2021-01-08,TN,,,,,,,16831,12044,,,
