Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:14:06 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,GA,,,,,,,0,0,,,
Admin,2020-12-14,GA,24,24,1697,1427,714,848,,,0,272,136
Report,2020-12-14,GA,,,,,,,0,0,,,
Admin,2020-12-15,GA,182,182,1879,1609,536,626,,,1,273,91
Report,2020-12-15,GA,,,,,,,0,0,,,
Admin,2020-12-16,GA,812,766,2691,2375,594,672,,,3,276,69
Report,2020-12-16,GA,,,,,,,0,0,,,
Admin,2020-12-17,GA,2519,2391,5210,4766,953,1042,,,3,279,55
Report,2020-12-17,GA,,,,,,,0,0,,,
Admin,2020-12-18,GA,6761,6458,11971,11224,1871,1995,,,21,300,50
Report,2020-12-18,GA,,,,,,,198,33,,,
Admin,2020-12-19,GA,4282,4175,16253,15399,2200,2321,,,11,311,44
Report,2020-12-19,GA,,,,,,,911,158,,,
Admin,2020-12-20,GA,3232,3218,19485,18617,2459,2544,,,5,316,6
Report,2020-12-20,GA,,,,,,,0,158,,,
Admin,2020-12-21,GA,6702,6374,26187,24991,3366,3498,,,27,343,10
Report,2020-12-21,GA,,,,,,,0,158,,,
Admin,2020-12-22,GA,12294,11402,38481,36393,4969,5228,,,89,432,22
Report,2020-12-22,GA,,,,,,,10714,1689,,,
Admin,2020-12-23,GA,15644,14831,54125,51224,6978,7347,,,58,490,30
Report,2020-12-23,GA,,,,,,,4710,2362,,,
Admin,2020-12-24,GA,4115,3860,58240,55084,7188,7575,,,20,510,33
Report,2020-12-24,GA,,,,,,,7640,3453,,,
Admin,2020-12-25,GA,120,119,58360,55203,6283,6627,,,1,511,30
Report,2020-12-25,GA,,,,,,,0,3425,,,
Admin,2020-12-26,GA,1913,1868,60273,57071,5953,6288,,,9,520,29
Report,2020-12-26,GA,,,,,,,0,3295,,,
Admin,2020-12-27,GA,1805,1775,62078,58846,5747,6084,,,7,527,30
Report,2020-12-27,GA,,,,,,,0,3295,,,
Admin,2020-12-28,GA,16745,15944,78823,74790,7114,7519,,,176,703,51
Report,2020-12-28,GA,,,,,,,0,3295,,,
Admin,2020-12-29,GA,18407,17479,97230,92269,7982,8392,,,69,772,48
Report,2020-12-29,GA,,,,,,,19442,4542,,,
Admin,2020-12-30,GA,17991,17358,115221,109627,8343,8728,,,100,872,54
Report,2020-12-30,GA,,,,,,,8480,5080,,,
Admin,2020-12-31,GA,9099,8914,124320,118541,9065,9440,,,44,916,58
