Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:18:53 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,PA,,,,,,,0,0,,,
Admin,2020-12-14,PA,45,45,252,250,125,126,,,3,7,3
Report,2020-12-14,PA,,,,,,,0,0,,,
Admin,2020-12-15,PA,99,99,351,349,116,117,,,5,12,4
Report,2020-12-15,PA,,,,,,,0,0,,,
Admin,2020-12-16,PA,2601,2587,2952,2936,734,738,,,11,23,5
Report,2020-12-16,PA,,,,,,,0,0,,,
Admin,2020-12-17,PA,3622,3611,6574,6547,1309,1314,,,8,31,6
Report,2020-12-17,PA,,,,,,,1681,336,,,
Admin,2020-12-18,PA,14858,14821,21432,21368,3561,3572,,,21,52,8
Report,2020-12-18,PA,,,,,,,1899,597,,,
Admin,2020-12-19,PA,7926,7900,29358,29268,4181,4194,,,17,69,9
Report,2020-12-19,PA,,,,,,,11539,2160,,,
Admin,2020-12-20,PA,4510,4505,33868,33773,4795,4808,,,3,72,9
Report,2020-12-20,PA,,,,,,,6809,3133,,,
Admin,2020-12-21,PA,18736,18640,52604,52413,7452,7478,,,74,146,19
Report,2020-12-21,PA,,,,,,,2927,3551,,,
Admin,2020-12-22,PA,23247,22998,75851,75411,10723,10785,,,155,301,41
Report,2020-12-22,PA,,,,,,,14504,5623,,,
Admin,2020-12-23,PA,22847,22553,98698,97964,13575,13678,,,108,409,55
Report,2020-12-23,PA,,,,,,,15373,7819,,,
Admin,2020-12-24,PA,7071,7054,105769,105018,14067,14170,,,13,422,55
Report,2020-12-24,PA,,,,,,,19496,10364,,,
Admin,2020-12-25,PA,258,258,106027,105276,11987,12085,,,0,422,52
