Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:17:50 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,NC,,,,,,,0,0,,,
Admin,2020-12-14,NC,33,33,86,85,43,43,,,0,1,0
Report,2020-12-14,NC,,,,,,,0,0,,,
Admin,2020-12-15,NC,860,832,946,917,306,315,,,0,1,0
Report,2020-12-15,NC,,,,,,,27,9,,,
Admin,2020-12-16,NC,3217,3165,4163,4082,1021,1040,,,1,2,0
Report,2020-12-16,NC,,,,,,,74,25,,,
Admin,2020-12-17,NC,4237,4213,8400,8295,1659,1680,,,1,3,0
Report,2020-12-17,NC,,,,,,,560,132,,,
Admin,2020-12-18,NC,9380,9379,17780,17674,2946,2963,,,1,4,0
Report,2020-12-18,NC,,,,,,,2127,465,,,
Admin,2020-12-19,NC,4443,4437,22223,22111,3159,3174,,,0,4,0
Report,2020-12-19,NC,,,,,,,5996,1255,,,
Admin,2020-12-20,NC,4368,4366,26591,26477,3775,3791,,,1,5,0
Report,2020-12-20,NC,,,,,,,281,1295,,,
Admin,2020-12-21,NC,10486,10485,37077,36962,5268,5284,,,0,5,0
Report,2020-12-21,NC,,,,,,,4581,1949,,,
Admin,2020-12-22,NC,12930,12924,50007,49886,6996,7008,,,2,7,0
Report,2020-12-22,NC,,,,,,,10792,3487,,,
Admin,2020-12-23,NC,14994,14986,65001,64872,8684,8691,,,2,9,1
Report,2020-12-23,NC,,,,,,,9376,4816,,,
Admin,2020-12-24,NC,3439,3438,68440,68310,8574,8577,,,0,9,0
Report,2020-12-24,NC,,,,,,,13486,6663,,,
Admin,2020-12-25,NC,0,0,68440,68310,7234,7237,,,0,9,0
Report,2020-12-25,NC,,,,,,,3262,6825,,,
Admin,2020-12-26,NC,2240,2239,70680,70549,6920,6922,,,1,10,0
Report,2020-12-26,NC,,,,,,,8,5969,,,
Admin,2020-12-27,NC,1595,1595,72275,72144,6524,6526,,,0,10,0
Report,2020-12-27,NC,,,,,,,2410,6274,,,
Admin,2020-12-28,NC,15097,15085,87372,87229,7181,7185,,,2,12,1
Report,2020-12-28,NC,,,,,,,2050,5912,,,
Admin,2020-12-29,NC,18616,18532,105988,105761,7982,7997,,,9,21,2
Report,2020-12-29,NC,,,,,,,8941,5648,,,
Admin,2020-12-30,NC,20214,20157,126202,125918,8721,8743,,,18,39,4
Report,2020-12-30,NC,,,,,,,11152,5901,,,
Admin,2020-12-31,NC,12300,12252,138502,138170,9980,10008,,,24,63,7
Report,2020-12-31,NC,,,,,,,13751,5939,,,
Admin,2021-01-01,NC,595,594,139097,138764,10065,10093,,,1,64,7
Report,2021-01-01,NC,,,,,,,10073,6912,,,
Admin,2021-01-02,NC,5149,5126,144246,143890,10477,10509,,,2,66,8
Report,2021-01-02,NC,,,,,,,3452,7404,,,
Admin,2021-01-03,NC,3409,3371,147655,147261,10731,10768,,,34,100,12
Report,2021-01-03,NC,,,,,,,5602,7860,,,
Admin,2021-01-04,NC,14637,13995,162292,161256,10575,10702,,,627,727,102
Report,2021-01-04,NC,,,,,,,3110,8012,,,
Admin,2021-01-05,NC,20340,18517,182632,179773,10573,10949,,,1784,2511,355
Report,2021-01-05,NC,,,,,,,10770,8273,,,
Admin,2021-01-06,NC,32784,28356,215416,208129,11744,12744,,,4355,6866,975
Report,2021-01-06,NC,,,,,,,15317,8868,,,
Admin,2021-01-07,NC,34819,28181,250235,236310,14020,15961,,,6563,13429,1909
Report,2021-01-07,NC,,,,,,,19568,9699,,,
Admin,2021-01-08,NC,28804,19638,279039,255948,16741,19991,,,9001,22430,3195
Report,2021-01-08,NC,,,,,,,21370,11313,,,
Admin,2021-01-09,NC,10365,6660,289404,262608,16960,20736,,,3673,26103,3719
Report,2021-01-09,NC,,,,,,,16342,13154,,,
Admin,2021-01-10,NC,5951,3594,295355,266202,16992,21100,,,2343,28446,4049
Report,2021-01-10,NC,,,,,,,10206,13812,,,
