Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:11:23 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,CO,,,,,,,0,0,,,
Admin,2020-12-14,CO,236,236,1225,1148,574,612,,,2,55,27
Report,2020-12-14,CO,,,,,,,0,0,,,
Admin,2020-12-15,CO,479,469,1704,1617,539,568,,,2,57,19
Report,2020-12-15,CO,,,,,,,0,0,,,
Admin,2020-12-16,CO,4503,4494,6207,6111,1528,1551,,,8,65,16
Report,2020-12-16,CO,,,,,,,183,46,,,
Admin,2020-12-17,CO,12751,12723,18958,18834,3767,3791,,,10,75,15
Report,2020-12-17,CO,,,,,,,168,70,,,
Admin,2020-12-18,CO,13267,13204,32225,32038,5340,5370,,,17,92,15
Report,2020-12-18,CO,,,,,,,3053,567,,,
Admin,2020-12-19,CO,5722,5714,37947,37752,5393,5421,,,5,97,13
Report,2020-12-19,CO,,,,,,,8719,1732,,,
Admin,2020-12-20,CO,3080,3073,41027,40825,5702,5719,,,6,103,7
Report,2020-12-20,CO,,,,,,,10426,3221,,,
Admin,2020-12-21,CO,6112,6044,47139,46869,6532,6559,,,11,114,8
Report,2020-12-21,CO,,,,,,,8396,4421,,,
Admin,2020-12-22,CO,8425,8329,55564,55198,7654,7694,,,16,130,10
Report,2020-12-22,CO,,,,,,,3001,4849,,,
Admin,2020-12-23,CO,15804,15482,71368,70680,9224,9308,,,50,180,16
Report,2020-12-23,CO,,,,,,,4732,5499,,,
Admin,2020-12-24,CO,4378,4192,75746,74872,8005,8112,,,11,191,16
Report,2020-12-24,CO,,,,,,,5084,6202,,,
Admin,2020-12-25,CO,20,20,75766,74892,6122,6220,,,0,191,14
Report,2020-12-25,CO,,,,,,,12031,7484,,,
Admin,2020-12-26,CO,2686,2597,78452,77489,5677,5786,,,15,206,15
Report,2020-12-26,CO,,,,,,,7535,7315,,,
Admin,2020-12-27,CO,2062,2052,80514,79541,5531,5641,,,10,216,16
Report,2020-12-27,CO,,,,,,,64,5835,,,
Admin,2020-12-28,CO,10292,10000,90806,89541,6096,6238,,,59,275,23
Report,2020-12-28,CO,,,,,,,2051,4928,,,
Admin,2020-12-29,CO,9877,9708,100683,99249,6293,6445,,,62,337,29
Report,2020-12-29,CO,,,,,,,1765,4752,,,
Admin,2020-12-30,CO,16057,15970,116740,115219,6363,6481,,,54,391,30
Report,2020-12-30,CO,,,,,,,6976,5072,,,
Admin,2020-12-31,CO,10740,10456,127480,125675,7258,7390,,,48,439,35
Report,2020-12-31,CO,,,,,,,8510,5562,,,
Admin,2021-01-01,CO,993,991,128473,126666,7396,7529,,,3,442,35
Report,2021-01-01,CO,,,,,,,12057,5565,,,
Admin,2021-01-02,CO,6266,6213,134739,132879,7913,8041,,,35,477,38
Report,2021-01-02,CO,,,,,,,9808,5890,,,
Admin,2021-01-03,CO,2133,2109,136872,134988,7921,8051,,,23,500,40
Report,2021-01-03,CO,,,,,,,1796,6138,,,
Admin,2021-01-04,CO,10241,8736,147113,143724,7740,8043,,,1365,1865,227
Report,2021-01-04,CO,,,,,,,6092,6715,,,
Admin,2021-01-05,CO,13319,11703,160432,155427,8025,8535,,,1506,3371,433
Report,2021-01-05,CO,,,,,,,2045,6755,,,
Admin,2021-01-06,CO,21763,16261,182195,171688,8067,9350,,,5285,8656,1180
Report,2021-01-06,CO,,,,,,,7790,6871,,,
Admin,2021-01-07,CO,28238,16226,210433,187914,8891,11850,,,11783,20439,2857
Report,2021-01-07,CO,,,,,,,8097,6812,,,
Admin,2021-01-08,CO,31840,19506,242273,207420,11536,16257,,,12133,32572,4590
Report,2021-01-08,CO,,,,,,,14714,7192,,,
Admin,2021-01-09,CO,14488,9438,256761,216858,11997,17431,,,5028,37600,5303
Report,2021-01-09,CO,,,,,,,26233,9538,,,
Admin,2021-01-10,CO,4628,2718,261389,219576,12084,17788,,,1894,39494,5570
Report,2021-01-10,CO,,,,,,,30477,13635,,,
Admin,2021-01-11,CO,18607,12915,279996,232491,12681,18983,,,5550,45044,6168
Report,2021-01-11,CO,,,,,,,16382,15105,,,
Admin,2021-01-12,CO,19562,16038,299558,248529,13300,19875,,,3453,48497,6446
Report,2021-01-12,CO,,,,,,,6243,15705,,,
Admin,2021-01-13,CO,22676,19132,322234,267661,13710,20005,,,3270,51767,6158
Report,2021-01-13,CO,,,,,,,15237,16769,,,
Admin,2021-01-14,CO,21582,20407,343816,288068,14308,19054,,,1080,52847,4629
Report,2021-01-14,CO,,,,,,,15041,17761,,,
Admin,2021-01-15,CO,20967,19688,364783,307756,14334,17501,,,1202,54049,3068
Report,2021-01-15,CO,,,,,,,17527,18163,,,
Admin,2021-01-16,CO,12431,11646,377214,319402,14649,17207,,,538,54587,2426
Report,2021-01-16,CO,,,,,,,16919,16832,,,
Admin,2021-01-17,CO,4041,3709,381255,323111,14791,17123,,,328,54915,2203
Report,2021-01-17,CO,,,,,,,21023,15482,,,
Admin,2021-01-18,CO,11155,8435,392410,331546,14151,16059,,,2654,57569,1789
Report,2021-01-18,CO,,,,,,,14616,15229,,,
Admin,2021-01-19,CO,17295,10928,409705,342474,13421,15735,,,6305,63874,2196
Report,2021-01-19,CO,,,,,,,5501,15123,,,
Admin,2021-01-20,CO,27958,17024,437663,359498,13120,16489,,,10756,74630,3266
Report,2021-01-20,CO,,,,,,,10146,14396,,,
Admin,2021-01-21,CO,31243,22765,468906,382263,13456,17870,,,7994,82624,4253
Report,2021-01-21,CO,,,,,,,12756,14070,,,
Admin,2021-01-22,CO,30887,23856,499793,406119,14052,19287,,,6262,88886,4976
Report,2021-01-22,CO,,,,,,,24089,15007,,,
Admin,2021-01-23,CO,17412,12227,517205,418346,14135,19998,,,4968,93854,5609
Report,2021-01-23,CO,,,,,,,0,12590,,,
Admin,2021-01-24,CO,7059,4077,524264,422423,14187,20429,,,2931,96785,5981
Report,2021-01-24,CO,,,,,,,57213,17760,,,
Admin,2021-01-25,CO,20999,10929,545263,433352,14544,21836,,,9606,106391,6974
Report,2021-01-25,CO,,,,,,,13384,17584,,,
Admin,2021-01-26,CO,21099,11954,566362,445306,14690,22379,,,8725,115116,7320
Report,2021-01-26,CO,,,,,,,9866,18208,,,
Admin,2021-01-27,CO,28389,16705,594751,462011,14645,22441,,,11445,126561,7418
Report,2021-01-27,CO,,,,,,,16781,19156,,,
Admin,2021-01-28,CO,25187,14726,619938,476737,13496,21576,,,10213,136774,7735
Report,2021-01-28,CO,,,,,,,21179,20359,,,
Admin,2021-01-29,CO,27727,19289,647665,496026,12844,21124,,,7896,144670,7969
Report,2021-01-29,CO,,,,,,,26173,20657,,,
Admin,2021-01-30,CO,20489,16070,668154,512096,13393,21564,,,4142,148812,7851
Report,2021-01-30,CO,,,,,,,23477,24010,,,
Admin,2021-01-31,CO,10464,8513,678618,520609,14027,22050,,,1780,150592,7686
Report,2021-01-31,CO,,,,,,,23878,19248,,,
Admin,2021-02-01,CO,20260,9448,698878,530057,13815,21945,,,10283,160875,7783
Report,2021-02-01,CO,,,,,,,20553,20272,,,
Admin,2021-02-02,CO,24069,11929,722947,541986,13811,22369,,,11958,172833,8245
Report,2021-02-02,CO,,,,,,,11560,20514,,,
Admin,2021-02-03,CO,30578,13359,753525,555345,13333,22682,,,16850,189683,9017
Report,2021-02-03,CO,,,,,,,15778,20371,,,
Admin,2021-02-04,CO,39815,19335,793340,574680,13992,24771,,,20085,209768,10427
Report,2021-02-04,CO,,,,,,,21798,20460,,,
Admin,2021-02-05,CO,41853,18647,835193,593327,13900,26789,,,22666,232434,12537
Report,2021-02-05,CO,,,,,,,22780,19975,,,
