Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:15:35 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,MA,,,,,,,0,0,,,
Admin,2020-12-14,MA,26,26,27,27,14,13,,,0,0,0
Report,2020-12-14,MA,,,,,,,0,0,,,
Admin,2020-12-15,MA,218,216,245,243,81,81,,,0,0,0
Report,2020-12-15,MA,,,,,,,0,0,,,
Admin,2020-12-16,MA,4106,3968,4351,4211,1053,1087,,,1,1,0
Report,2020-12-16,MA,,,,,,,0,0,,,
Admin,2020-12-17,MA,8649,8311,13000,12522,2504,2600,,,1,2,0
Report,2020-12-17,MA,,,,,,,69,14,,,
Admin,2020-12-18,MA,10897,10728,23897,23250,3875,3982,,,4,6,1
Report,2020-12-18,MA,,,,,,,2192,377,,,
Admin,2020-12-19,MA,4630,4614,28527,27864,3981,4075,,,2,8,1
Report,2020-12-19,MA,,,,,,,4734,999,,,
Admin,2020-12-20,MA,2181,2176,30708,30040,4291,4386,,,1,9,1
Report,2020-12-20,MA,,,,,,,12083,2725,,,
Admin,2020-12-21,MA,9122,9067,39830,39107,5583,5686,,,13,22,3
Report,2020-12-21,MA,,,,,,,0,2725,,,
Admin,2020-12-22,MA,10046,10021,49876,49128,6984,7090,,,5,27,3
Report,2020-12-22,MA,,,,,,,1794,2982,,,
Admin,2020-12-23,MA,11919,11887,61795,61015,8115,8206,,,4,31,4
Report,2020-12-23,MA,,,,,,,6020,3842,,,
Admin,2020-12-24,MA,4302,4293,66097,65308,7541,7585,,,3,34,4
Report,2020-12-24,MA,,,,,,,8952,5111,,,
Admin,2020-12-25,MA,295,294,66392,65602,6050,6070,,,1,35,4
Report,2020-12-25,MA,,,,,,,10865,6350,,,
Admin,2020-12-26,MA,2945,2939,69337,68541,5811,5830,,,1,36,4
Report,2020-12-26,MA,,,,,,,6463,6597,,,
Admin,2020-12-27,MA,1379,1378,70716,69919,5697,5715,,,1,37,4
Report,2020-12-27,MA,,,,,,,1688,5112,,,
Admin,2020-12-28,MA,14424,14325,85140,84244,6448,6472,,,10,47,3
Report,2020-12-28,MA,,,,,,,1135,5274,,,
Admin,2020-12-29,MA,17345,17120,102485,101364,7462,7515,,,19,66,5
Report,2020-12-29,MA,,,,,,,0,5018,,,
Admin,2020-12-30,MA,18685,18621,121170,119985,8424,8482,,,6,72,5
Report,2020-12-30,MA,,,,,,,9165,5467,,,
Admin,2020-12-31,MA,7991,7934,129161,127919,8944,9009,,,4,76,6
Report,2020-12-31,MA,,,,,,,11051,5767,,,
Admin,2021-01-01,MA,702,655,129863,128574,8996,9067,,,43,119,12
Report,2021-01-01,MA,,,,,,,11865,5910,,,
Admin,2021-01-02,MA,7757,7695,137620,136269,9675,9754,,,56,175,19
Report,2021-01-02,MA,,,,,,,0,4986,,,
Admin,2021-01-03,MA,6416,6354,144036,142623,10386,10474,,,58,233,28
Report,2021-01-03,MA,,,,,,,22203,7917,,,
Admin,2021-01-04,MA,13969,13269,158005,155892,10235,10409,,,679,912,123
Report,2021-01-04,MA,,,,,,,4186,8353,,,
Admin,2021-01-05,MA,16521,15264,174526,171156,9970,10291,,,1220,2132,295
Report,2021-01-05,MA,,,,,,,9985,9779,,,
Admin,2021-01-06,MA,17943,14008,192469,185164,9311,10185,,,3897,6029,851
Report,2021-01-06,MA,,,,,,,13408,10385,,,
Admin,2021-01-07,MA,19403,13383,211872,198547,10090,11815,,,5995,12024,1706
Report,2021-01-07,MA,,,,,,,0,8807,,,
Admin,2021-01-08,MA,20551,12397,232423,210944,11767,14651,,,8048,20072,2850
Report,2021-01-08,MA,,,,,,,13572,9051,,,
Admin,2021-01-09,MA,8355,5351,240778,216295,11432,14736,,,2975,23047,3267
Report,2021-01-09,MA,,,,,,,12524,10840,,,
Admin,2021-01-10,MA,4916,2943,245694,219238,10945,14522,,,1960,25007,3539
Report,2021-01-10,MA,,,,,,,23881,11079,,,
Admin,2021-01-11,MA,24629,16703,270323,235941,11436,16045,,,7723,32730,4545
Report,2021-01-11,MA,,,,,,,16247,12802,,,
Admin,2021-01-12,MA,26271,19247,296594,255188,12005,17438,,,6772,39502,5338
Report,2021-01-12,MA,,,,,,,13361,13285,,,
Admin,2021-01-13,MA,26050,20940,322644,276128,12995,18596,,,4741,44243,5459
Report,2021-01-13,MA,,,,,,,0,11369,,,
Admin,2021-01-14,MA,23737,20966,346381,297094,14078,19215,,,2381,46624,4942
Report,2021-01-14,MA,,,,,,,16033,13660,,,
Admin,2021-01-15,MA,24287,21916,370668,319010,15438,19749,,,1864,48488,4059
Report,2021-01-15,MA,,,,,,,23699,15106,,,
Admin,2021-01-16,MA,11429,10539,382097,329549,16179,20188,,,861,49349,3757
Report,2021-01-16,MA,,,,,,,35157,18340,,,
Admin,2021-01-17,MA,5596,5098,387693,334647,16487,20285,,,493,49842,3547
Report,2021-01-17,MA,,,,,,,18291,17541,,,
Admin,2021-01-18,MA,11824,7691,399517,342338,15200,18456,,,4068,53910,3025
Report,2021-01-18,MA,,,,,,,0,15220,,,
Admin,2021-01-19,MA,22676,15457,422193,357795,14658,17942,,,6762,60672,3024
Report,2021-01-19,MA,,,,,,,8254,14491,,,
Admin,2021-01-20,MA,27372,17949,449565,375744,14231,18131,,,8861,69533,3612
Report,2021-01-20,MA,,,,,,,11613,16150,,,
Admin,2021-01-21,MA,27463,22515,477028,398259,14452,18663,,,3911,73444,3831
Report,2021-01-21,MA,,,,,,,22627,17092,,,
Admin,2021-01-22,MA,27876,23874,504904,422133,14732,19176,,,3296,76740,4036
Report,2021-01-22,MA,,,,,,,17510,16207,,,
Admin,2021-01-23,MA,17030,11433,521934,433566,14860,19976,,,4901,81641,4613
Report,2021-01-23,MA,,,,,,,22340,14376,,,
Admin,2021-01-24,MA,9297,5164,531231,438730,14869,20505,,,4096,85737,5127
Report,2021-01-24,MA,,,,,,,26839,15598,,,
Admin,2021-01-25,MA,29891,17874,561122,456604,16324,23086,,,11793,97530,6231
Report,2021-01-25,MA,,,,,,,13809,17570,,,
Admin,2021-01-26,MA,32981,19441,594103,476045,16893,24558,,,13433,110963,7184
Report,2021-01-26,MA,,,,,,,9088,17689,,,
Admin,2021-01-27,MA,35025,21439,629128,497484,17391,25651,,,13308,124271,7819
Report,2021-01-27,MA,,,,,,,21572,19112,,,
Admin,2021-01-28,MA,35972,25116,665100,522600,17763,26867,,,10571,134842,8771
Report,2021-01-28,MA,,,,,,,26057,19602,,,
Admin,2021-01-29,MA,36553,28094,701653,550694,18366,28107,,,8189,143031,9470
Report,2021-01-29,MA,,,,,,,30172,21411,,,
Admin,2021-01-30,MA,21300,16699,722953,567393,19118,28717,,,4544,147575,9419
Report,2021-01-30,MA,,,,,,,26578,22016,,,
Admin,2021-01-31,MA,13697,11032,736650,578425,19956,29345,,,2629,150204,9209
Report,2021-01-31,MA,,,,,,,32099,22768,,,
Admin,2021-02-01,MA,33623,21782,770273,600207,20515,29878,,,11454,161658,9161
Report,2021-02-01,MA,,,,,,,29766,25047,,,
Admin,2021-02-02,MA,30520,19239,800793,619446,20486,29527,,,11012,172670,8815
Report,2021-02-02,MA,,,,,,,16530,26111,,,
Admin,2021-02-03,MA,46734,34800,847527,654246,22395,31199,,,11460,184130,8551
Report,2021-02-03,MA,,,,,,,0,23029,,,
Admin,2021-02-04,MA,51574,37627,899101,691873,24182,33428,,,13376,197506,8952
Report,2021-02-04,MA,,,,,,,27452,23228,,,
Admin,2021-02-05,MA,54873,38127,953974,730000,25615,36045,,,15454,212960,9989
Report,2021-02-05,MA,,,,,,,32145,23510,,,
Admin,2021-02-06,MA,36216,28973,990190,758973,27369,38176,,,6963,219923,10335
Report,2021-02-06,MA,,,,,,,42046,25720,,,
Admin,2021-02-07,MA,16913,12421,1007103,771394,27567,38636,,,4450,224373,10595
Report,2021-02-07,MA,,,,,,,53148,28727,,,
Admin,2021-02-08,MA,39628,28020,1046731,799414,28458,39494,,,11090,235463,10543
Report,2021-02-08,MA,,,,,,,26108,28204,,,
Admin,2021-02-09,MA,45463,31117,1092194,830531,30155,41628,,,13861,249324,10950
Report,2021-02-09,MA,,,,,,,25866,29538,,,
Admin,2021-02-10,MA,56597,39900,1148791,870431,30884,43037,,,16426,265750,11660
Report,2021-02-10,MA,,,,,,,51703,36924,,,
Admin,2021-02-11,MA,55808,36411,1204599,906842,30710,43642,,,19316,285066,12508
Report,2021-02-11,MA,,,,,,,40667,38812,,,
Admin,2021-02-12,MA,58229,36693,1262828,943535,30505,44122,,,21229,306295,13333
Report,2021-02-12,MA,,,,,,,38099,39662,,,
Admin,2021-02-13,MA,39418,28872,1302246,972407,30491,44579,,,10095,316390,13781
Report,2021-02-13,MA,,,,,,,46849,40349,,,
Admin,2021-02-14,MA,20406,15523,1322652,987930,30934,45078,,,4799,321189,13830
Report,2021-02-14,MA,,,,,,,76024,43617,,,
Admin,2021-02-15,MA,30586,21575,1353238,1009505,30013,43786,,,8691,329880,13488
Report,2021-02-15,MA,,,,,,,36024,45033,,,
Admin,2021-02-16,MA,42408,25415,1395646,1034920,29198,43350,,,16431,346311,13855
Report,2021-02-16,MA,,,,,,,25252,44945,,,
Admin,2021-02-17,MA,45748,29310,1441394,1064230,27686,41800,,,15969,362280,13790
Report,2021-02-17,MA,,,,,,,23538,40922,,,
Admin,2021-02-18,MA,47089,26343,1488483,1090573,26247,40554,,,19965,382245,13882
Report,2021-02-18,MA,,,,,,,44423,41458,,,
Admin,2021-02-19,MA,39751,19146,1528234,1109719,23741,37915,,,20281,402526,13747
Report,2021-02-19,MA,,,,,,,101581,50527,,,
Admin,2021-02-20,MA,36675,24246,1564909,1133965,23080,37523,,,11840,414366,13996
Report,2021-02-20,MA,,,,,,,59037,52268,,,
Admin,2021-02-21,MA,15665,9857,1580574,1143822,22270,36846,,,5759,420125,14133
Report,2021-02-21,MA,,,,,,,51073,48704,,,
Admin,2021-02-22,MA,40650,21135,1621224,1164957,22207,38283,,,18946,439071,15598
Report,2021-02-22,MA,,,,,,,42480,49626,,,
Admin,2021-02-23,MA,45114,25472,1666338,1190429,22216,38670,,,19491,458562,16035
Report,2021-02-23,MA,,,,,,,31085,50460,,,
Admin,2021-02-24,MA,48987,24638,1715325,1215067,21548,39133,,,24110,482672,17198
Report,2021-02-24,MA,,,,,,,33457,51877,,,
Admin,2021-02-25,MA,62924,33911,1778249,1248978,22629,41395,,,28549,511221,18425
Report,2021-02-25,MA,,,,,,,43123,51691,,,
Admin,2021-02-26,MA,67996,35833,1846245,1284811,25013,45430,,,31626,542847,20045
Report,2021-02-26,MA,,,,,,,48802,44151,,,
Admin,2021-02-27,MA,50401,29160,1896646,1313971,25715,47391,,,20919,563766,21342
Report,2021-02-27,MA,,,,,,,58882,44129,,,
Admin,2021-02-28,MA,32317,19860,1928963,1333831,27144,49769,,,12334,576100,22282
Report,2021-02-28,MA,,,,,,,51575,44201,,,
Admin,2021-03-01,MA,54662,33067,1983625,1366898,28849,51771,,,21259,597359,22612
Report,2021-03-01,MA,,,,,,,67612,47791,,,
Admin,2021-03-02,MA,61090,36601,2044715,1403499,30439,54053,,,24316,621675,23301
Report,2021-03-02,MA,,,,,,,34288,48248,,,
Admin,2021-03-03,MA,64971,34767,2109686,1438266,31886,56337,,,30030,651705,24147
Report,2021-03-03,MA,,,,,,,46323,50086,,,
Admin,2021-03-04,MA,71501,41999,2181187,1480265,33041,57562,,,34002,685707,24926
Report,2021-03-04,MA,,,,,,,56879,52052,,,
Admin,2021-03-05,MA,73352,42751,2254539,1523016,34029,58327,,,33592,719299,25207
Report,2021-03-05,MA,,,,,,,64690,54321,,,
Admin,2021-03-06,MA,54901,35263,2309440,1558279,34901,58970,,,29188,748487,26388
Report,2021-03-06,MA,,,,,,,76344,56816,,,
Admin,2021-03-07,MA,30856,21092,2340296,1579371,35077,58761,,,13433,761920,26545
Report,2021-03-07,MA,,,,,,,66304,58920,,,
Admin,2021-03-08,MA,52641,35786,2392937,1615157,35466,58473,,,23819,785739,26911
Report,2021-03-08,MA,,,,,,,50730,56508,,,
Admin,2021-03-09,MA,61701,39788,2454638,1654945,35921,58560,,,31206,816945,27895
