Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:15:48 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,MN,,,,,,,0,0,,,
Admin,2020-12-14,MN,51,50,586,572,286,293,,,2,46,23
Report,2020-12-14,MN,,,,,,,0,0,,,
Admin,2020-12-15,MN,168,166,754,738,246,251,,,0,46,15
Report,2020-12-15,MN,,,,,,,0,0,,,
Admin,2020-12-16,MN,757,753,1511,1491,373,377,,,4,50,12
Report,2020-12-16,MN,,,,,,,0,0,,,
Admin,2020-12-17,MN,1406,1400,2917,2891,578,583,,,8,58,11
Report,2020-12-17,MN,,,,,,,0,0,,,
Admin,2020-12-18,MN,4027,4015,6944,6906,1151,1157,,,5,63,10
Report,2020-12-18,MN,,,,,,,215,36,,,
Admin,2020-12-19,MN,1550,1542,8494,8448,1207,1213,,,5,68,9
Report,2020-12-19,MN,,,,,,,561,111,,,
Admin,2020-12-20,MN,404,402,8898,8850,1190,1194,,,1,69,3
Report,2020-12-20,MN,,,,,,,2090,409,,,
Admin,2020-12-21,MN,11702,11673,20600,20523,2850,2859,,,15,84,5
Report,2020-12-21,MN,,,,,,,1052,560,,,
Admin,2020-12-22,MN,13874,13821,34474,34344,4801,4817,,,17,101,7
Report,2020-12-22,MN,,,,,,,0,560,,,
Admin,2020-12-23,MN,12410,12368,46884,46712,6460,6481,,,9,110,8
Report,2020-12-23,MN,,,,,,,9289,1887,,,
Admin,2020-12-24,MN,1966,1959,48850,48671,6540,6561,,,4,114,8
Report,2020-12-24,MN,,,,,,,12588,3685,,,
Admin,2020-12-25,MN,54,43,48904,48714,5973,5994,,,1,115,7
Report,2020-12-25,MN,,,,,,,12652,5462,,,
Admin,2020-12-26,MN,1143,1138,50047,49852,5915,5936,,,4,119,7
Report,2020-12-26,MN,,,,,,,2645,5759,,,
Admin,2020-12-27,MN,493,490,50540,50342,5927,5948,,,3,122,7
Report,2020-12-27,MN,,,,,,,0,5461,,,
Admin,2020-12-28,MN,10469,10380,61009,60722,5743,5772,,,40,162,11
Report,2020-12-28,MN,,,,,,,360,5362,,,
Admin,2020-12-29,MN,17363,17233,78372,77955,6230,6271,,,37,199,14
Report,2020-12-29,MN,,,,,,,0,5362,,,
Admin,2020-12-30,MN,17731,17241,96103,95196,6926,7031,,,466,665,79
Report,2020-12-30,MN,,,,,,,6976,5032,,,
Admin,2020-12-31,MN,7922,7895,104025,103091,7774,7882,,,16,681,81
Report,2020-12-31,MN,,,,,,,12971,5086,,,
Admin,2021-01-01,MN,608,541,104633,103632,7845,7961,,,63,744,89
Report,2021-01-01,MN,,,,,,,12826,5111,,,
