Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:14:17 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,HI,,,,,,,0,0,,,
Admin,2020-12-14,HI,0,0,5,5,3,2,,,0,0,0
Report,2020-12-14,HI,,,,,,,0,0,,,
Admin,2020-12-15,HI,6,5,11,10,3,3,,,0,0,0
Report,2020-12-15,HI,,,,,,,5,2,,,
Admin,2020-12-16,HI,593,589,604,599,150,151,,,1,1,0
Report,2020-12-16,HI,,,,,,,325,83,,,
Admin,2020-12-17,HI,1833,1805,2437,2404,481,487,,,11,12,2
Report,2020-12-17,HI,,,,,,,1523,371,,,
Admin,2020-12-18,HI,1376,1359,3813,3763,627,635,,,17,29,4
Report,2020-12-18,HI,,,,,,,1143,499,,,
Admin,2020-12-19,HI,637,637,4450,4400,629,635,,,0,29,4
Report,2020-12-19,HI,,,,,,,402,485,,,
Admin,2020-12-20,HI,211,211,4661,4611,658,665,,,0,29,4
Report,2020-12-20,HI,,,,,,,131,504,,,
Admin,2020-12-21,HI,1424,1423,6085,6034,861,868,,,0,29,4
Report,2020-12-21,HI,,,,,,,927,637,,,
Admin,2020-12-22,HI,2682,2678,8767,8712,1243,1250,,,4,33,4
Report,2020-12-22,HI,,,,,,,2255,958,,,
Admin,2020-12-23,HI,4894,4893,13661,13605,1858,1865,,,1,34,4
Report,2020-12-23,HI,,,,,,,3898,1468,,,
Admin,2020-12-24,HI,2349,2344,16010,15949,1935,1939,,,5,39,3
Report,2020-12-24,HI,,,,,,,2217,1568,,,
Admin,2020-12-25,HI,22,22,16032,15971,1744,1745,,,0,39,1
Report,2020-12-25,HI,,,,,,,21,1407,,,
Admin,2020-12-26,HI,1406,1406,17438,17377,1854,1855,,,0,39,1
Report,2020-12-26,HI,,,,,,,817,1467,,,
Admin,2020-12-27,HI,348,348,17786,17725,1873,1875,,,0,39,1
Report,2020-12-27,HI,,,,,,,270,1486,,,
Admin,2020-12-28,HI,4249,4245,22035,21970,2277,2278,,,4,43,2
Report,2020-12-28,HI,,,,,,,3426,1843,,,
Admin,2020-12-29,HI,4379,4375,26414,26345,2519,2521,,,2,45,1
Report,2020-12-29,HI,,,,,,,3563,2030,,,
Admin,2020-12-30,HI,4753,4751,31167,31096,2499,2500,,,1,46,1
Report,2020-12-30,HI,,,,,,,3144,1923,,,
Admin,2020-12-31,HI,1483,1483,32650,32579,2376,2377,,,0,46,1
Report,2020-12-31,HI,,,,,,,925,1738,,,
Admin,2021-01-01,HI,56,56,32706,32635,2381,2382,,,0,46,1
Report,2021-01-01,HI,,,,,,,48,1742,,,
Admin,2021-01-02,HI,528,525,33234,33160,2255,2256,,,3,49,1
Report,2021-01-02,HI,,,,,,,269,1664,,,
Admin,2021-01-03,HI,172,170,33406,33330,2229,2231,,,2,51,1
Report,2021-01-03,HI,,,,,,,43,1631,,,
Admin,2021-01-04,HI,2024,2001,35430,35331,1909,1913,,,21,72,4
Report,2021-01-04,HI,,,,,,,1093,1298,,,
Admin,2021-01-05,HI,3579,3442,39009,38773,1775,1799,,,134,206,23
Report,2021-01-05,HI,,,,,,,1627,1021,,,
Admin,2021-01-06,HI,3507,2961,42516,41734,1520,1621,,,543,749,100
Report,2021-01-06,HI,,,,,,,1881,841,,,
Admin,2021-01-07,HI,5430,3556,47946,45290,1816,2185,,,1860,2609,366
Report,2021-01-07,HI,,,,,,,3281,1177,,,
Admin,2021-01-08,HI,5675,3651,53621,48941,2329,2987,,,2018,4627,654
Report,2021-01-08,HI,,,,,,,3390,1655,,,
Admin,2021-01-09,HI,1737,1020,55358,49961,2400,3160,,,714,5341,756
Report,2021-01-09,HI,,,,,,,1388,1815,,,
Admin,2021-01-10,HI,715,698,56073,50659,2476,3238,,,17,5358,758
Report,2021-01-10,HI,,,,,,,456,1874,,,
Admin,2021-01-11,HI,6164,4302,62237,54961,2804,3829,,,1852,7210,1019
Report,2021-01-11,HI,,,,,,,3306,2190,,,
Admin,2021-01-12,HI,7820,5625,70057,60586,3116,4435,,,2183,9393,1312
Report,2021-01-12,HI,,,,,,,3911,2516,,,
Admin,2021-01-13,HI,9423,5835,79480,66421,3527,5280,,,3568,12961,1744
Report,2021-01-13,HI,,,,,,,5360,3013,,,
Admin,2021-01-14,HI,7670,6538,87150,72959,3953,5600,,,1129,14090,1640
Report,2021-01-14,HI,,,,,,,-46044,-4033,,,
Admin,2021-01-15,HI,7087,6282,94237,79241,4329,5802,,,804,14894,1466
Report,2021-01-15,HI,,,,,,,4793,-3833,,,
Admin,2021-01-16,HI,3129,2612,97366,81853,4556,6001,,,516,15410,1438
Report,2021-01-16,HI,,,,,,,3025,-3599,,,
Admin,2021-01-17,HI,1045,798,98411,82651,4570,6048,,,246,15656,1471
Report,2021-01-17,HI,,,,,,,901,-3535,,,
Admin,2021-01-18,HI,7110,5517,105521,88168,4744,6183,,,1592,17248,1434
Report,2021-01-18,HI,,,,,,,4762,-3327,,,
Admin,2021-01-19,HI,9823,8013,115344,96181,5085,6469,,,1794,19042,1378
Report,2021-01-19,HI,,,,,,,6190,-3002,,,
Admin,2021-01-20,HI,8467,5833,123811,102014,5085,6333,,,2618,21660,1242
Report,2021-01-20,HI,,,,,,,47272,2986,,,
Admin,2021-01-21,HI,8444,7573,132255,109587,5233,6443,,,864,22524,1204
Report,2021-01-21,HI,,,,,,,7470,10630,,,
Admin,2021-01-22,HI,8480,7744,140735,117331,5441,6642,,,734,23258,1194
Report,2021-01-22,HI,,,,,,,5379,10714,,,
Admin,2021-01-23,HI,5399,4513,146134,121844,5713,6966,,,886,24144,1247
Report,2021-01-23,HI,,,,,,,-1,10282,,,
Admin,2021-01-24,HI,256,217,146390,122061,5630,6854,,,39,24183,1218
Report,2021-01-24,HI,,,,,,,0,10153,,,
Admin,2021-01-25,HI,8483,6430,154873,128491,5760,7050,,,2041,26224,1282
Report,2021-01-25,HI,,,,,,,7300,10516,,,
Admin,2021-01-26,HI,10049,7403,164922,135894,5673,7082,,,2633,28857,1402
Report,2021-01-26,HI,,,,,,,1668,9870,,,
Admin,2021-01-27,HI,11140,6984,176062,142878,5838,7464,,,4136,32993,1619
Report,2021-01-27,HI,,,,,,,3932,3678,,,
Admin,2021-01-28,HI,11732,8478,187794,151356,5967,7934,,,3247,36240,1959
Report,2021-01-28,HI,,,,,,,6252,3504,,,
Admin,2021-01-29,HI,11425,7940,199219,159296,5995,8354,,,3479,39719,2351
Report,2021-01-29,HI,,,,,,,7221,3767,,,
Admin,2021-01-30,HI,5723,5072,204942,164368,6075,8401,,,651,40370,2318
Report,2021-01-30,HI,,,,,,,9337,5101,,,
Admin,2021-01-31,HI,2130,2090,207072,166458,6342,8668,,,39,40409,2318
