Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:17:42 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,NY,,,,,,,0,0,,,
Admin,2020-12-14,NY,397,360,439,401,201,219,,,6,7,3
Report,2020-12-14,NY,,,,,,,0,0,,,
Admin,2020-12-15,NY,4955,4219,5394,4620,1540,1798,,,16,23,7
Report,2020-12-15,NY,,,,,,,147,49,,,
Admin,2020-12-16,NY,12350,10864,17744,15484,3871,4436,,,25,48,12
Report,2020-12-16,NY,,,,,,,2216,591,,,
Admin,2020-12-17,NY,12775,10665,30519,26149,5230,6103,,,29,77,15
Report,2020-12-17,NY,,,,,,,6151,1703,,,
Admin,2020-12-18,NY,16735,14350,47254,40499,6750,7875,,,53,130,21
Report,2020-12-18,NY,,,,,,,8373,2815,,,
Admin,2020-12-19,NY,6017,4834,53271,45333,6476,7610,,,32,162,23
Report,2020-12-19,NY,,,,,,,6176,3295,,,
Admin,2020-12-20,NY,4117,3335,57388,48668,6947,8192,,,22,184,26
Report,2020-12-20,NY,,,,,,,11769,4976,,,
Admin,2020-12-21,NY,20091,18371,77479,67039,9520,11005,,,25,209,28
Report,2020-12-21,NY,,,,,,,2785,5374,,,
Admin,2020-12-22,NY,28754,26542,106233,93581,12709,14405,,,220,429,58
Report,2020-12-22,NY,,,,,,,0,5353,,,
Admin,2020-12-23,NY,42398,39780,148631,133361,16840,18698,,,104,533,69
Report,2020-12-23,NY,,,,,,,24834,8584,,,
Admin,2020-12-24,NY,19784,17766,168415,151127,17854,19699,,,109,642,80
Report,2020-12-24,NY,,,,,,,21106,10720,,,
Admin,2020-12-25,NY,751,737,169166,151864,15909,17416,,,12,654,74
Report,2020-12-25,NY,,,,,,,20614,12469,,,
Admin,2020-12-26,NY,11982,10836,181148,162700,16767,18268,,,66,720,79
Report,2020-12-26,NY,,,,,,,4511,12231,,,
Admin,2020-12-27,NY,10317,9390,191465,172090,17632,19153,,,94,814,90
Report,2020-12-27,NY,,,,,,,6825,11525,,,
Admin,2020-12-28,NY,34619,32831,226084,204921,19697,21229,,,155,969,108
Report,2020-12-28,NY,,,,,,,6994,12126,,,
Admin,2020-12-29,NY,40667,38355,266751,243276,21385,22931,,,429,1398,138
Report,2020-12-29,NY,,,,,,,19060,14849,,,
Admin,2020-12-30,NY,46140,43874,312891,287150,21970,23465,,,300,1698,166
Report,2020-12-30,NY,,,,,,,11781,12984,,,
Admin,2020-12-31,NY,27724,26493,340615,313643,23217,24600,,,122,1820,168
Report,2020-12-31,NY,,,,,,,44783,16367,,,
Admin,2021-01-01,NY,3480,3240,344095,316883,23574,24989,,,254,2074,202
Report,2021-01-01,NY,,,,,,,30374,17761,,,
Admin,2021-01-02,NY,11550,11157,355645,328040,23620,24928,,,67,2141,203
Report,2021-01-02,NY,,,,,,,8442,18323,,,
Admin,2021-01-03,NY,9339,8870,364984,336910,23546,24788,,,92,2233,202
Report,2021-01-03,NY,,,,,,,29103,21505,,,
Admin,2021-01-04,NY,44726,40304,409710,377214,24613,26232,,,2129,4362,484
Report,2021-01-04,NY,,,,,,,8669,21745,,,
Admin,2021-01-05,NY,55348,47265,465058,424479,25886,28329,,,5336,9698,1185
Report,2021-01-05,NY,,,,,,,24715,22552,,,
Admin,2021-01-06,NY,74290,61929,539348,486408,28465,32351,,,9259,18957,2465
Report,2021-01-06,NY,,,,,,,36463,26078,,,
Admin,2021-01-07,NY,78549,64278,617897,550686,33863,39611,,,10806,29763,3991
Report,2021-01-07,NY,,,,,,,54706,27496,,,
Admin,2021-01-08,NY,73087,55733,690984,606419,41362,49555,,,13333,43096,5860
Report,2021-01-08,NY,,,,,,,62298,32057,,,
Admin,2021-01-09,NY,27191,22580,718175,628999,42994,51790,,,3440,46536,6342
Report,2021-01-09,NY,,,,,,,71724,41097,,,
Admin,2021-01-10,NY,19981,17033,738156,646032,44160,53310,,,2457,48993,6680
Report,2021-01-10,NY,,,,,,,32729,41615,,,
Admin,2021-01-11,NY,77941,55543,816097,701575,46337,58055,,,17910,66903,8934
Report,2021-01-11,NY,,,,,,,22184,43546,,,
Admin,2021-01-12,NY,84732,59669,900829,761244,48109,62253,,,20233,87136,11062
Report,2021-01-12,NY,,,,,,,52941,47578,,,
Admin,2021-01-13,NY,90346,64817,991175,826061,48522,64546,,,20184,107320,12623
Report,2021-01-13,NY,,,,,,,56103,50384,,,
Admin,2021-01-14,NY,89636,73612,1080811,899673,49855,66130,,,10898,118218,12636
Report,2021-01-14,NY,,,,,,,68890,52410,,,
Admin,2021-01-15,NY,76457,66907,1157268,966580,51452,66612,,,6472,124690,11656
Report,2021-01-15,NY,,,,,,,26726,47328,,,
Admin,2021-01-16,NY,61429,54925,1218697,1021505,56072,71503,,,4565,129255,11817
Report,2021-01-16,NY,,,,,,,104267,51977,,,
Admin,2021-01-17,NY,43989,40033,1262686,1061538,59358,74932,,,3272,132527,11933
Report,2021-01-17,NY,,,,,,,56595,55387,,,
Admin,2021-01-18,NY,63080,51538,1325766,1113076,58786,72809,,,9218,141745,10691
Report,2021-01-18,NY,,,,,,,55265,60112,,,
Admin,2021-01-19,NY,91238,64531,1417004,1177607,59480,73739,,,22879,164624,11069
Report,2021-01-19,NY,,,,,,,46171,59145,,,
Admin,2021-01-20,NY,98208,67030,1515212,1244637,59797,74862,,,26402,191026,11958
Report,2021-01-20,NY,,,,,,,0,51131,,,
Admin,2021-01-21,NY,92292,68553,1607504,1313190,59074,75241,,,19161,210187,13138
Report,2021-01-21,NY,,,,,,,69951,51282,,,
Admin,2021-01-22,NY,79283,64782,1686787,1377972,58770,75645,,,9513,219700,13572
Report,2021-01-22,NY,,,,,,,87553,59972,,,
Admin,2021-01-23,NY,53119,39965,1739906,1417937,56633,74458,,,9172,228872,14231
Report,2021-01-23,NY,,,,,,,78521,56294,,,
Admin,2021-01-24,NY,31906,23066,1771812,1441003,54209,72732,,,7315,236187,14808
Report,2021-01-24,NY,,,,,,,82889,60050,,,
Admin,2021-01-25,NY,77228,40291,1849040,1481294,52603,74753,,,34163,270350,18372
Report,2021-01-25,NY,,,,,,,52909,59713,,,
Admin,2021-01-26,NY,79509,40376,1928549,1521670,49152,73077,,,37589,307939,20473
Report,2021-01-26,NY,,,,,,,35659,58212,,,
Admin,2021-01-27,NY,90768,47411,2019317,1569081,46349,72015,,,41953,349892,22695
Report,2021-01-27,NY,,,,,,,64725,67458,,,
Admin,2021-01-28,NY,107679,68831,2126996,1637912,46389,74213,,,37197,387089,25271
Report,2021-01-28,NY,,,,,,,111807,73438,,,
Admin,2021-01-29,NY,94919,65659,2221915,1703571,46514,76446,,,27644,414733,27861
Report,2021-01-29,NY,,,,,,,72714,71318,,,
Admin,2021-01-30,NY,52133,40117,2274048,1743688,46536,76306,,,10234,424967,28013
Report,2021-01-30,NY,,,,,,,88717,72774,,,
Admin,2021-01-31,NY,40702,30525,2314750,1774213,47601,77562,,,8912,433879,28241
Report,2021-01-31,NY,,,,,,,83527,72865,,,
Admin,2021-02-01,NY,40274,14942,2355024,1789155,43980,72283,,,24763,458642,26898
Report,2021-02-01,NY,,,,,,,52203,72765,,,
Admin,2021-02-02,NY,50385,17271,2405409,1806426,40679,68122,,,32432,491074,26162
