Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:18:06 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,OH,,,,,,,0,0,,,
Admin,2020-12-14,OH,102,102,103,103,52,51,,,2,2,1
Report,2020-12-14,OH,,,,,,,0,0,,,
Admin,2020-12-15,OH,852,852,955,955,318,318,,,1,3,1
Report,2020-12-15,OH,,,,,,,0,0,,,
Admin,2020-12-16,OH,1959,1958,2914,2913,728,728,,,1,4,1
Report,2020-12-16,OH,,,,,,,0,0,,,
Admin,2020-12-17,OH,2616,2615,5530,5528,1106,1106,,,0,4,0
Report,2020-12-17,OH,,,,,,,511,102,,,
Admin,2020-12-18,OH,4475,4466,10005,9994,1666,1667,,,9,13,2
Report,2020-12-18,OH,,,,,,,1265,296,,,
Admin,2020-12-19,OH,413,372,10418,10366,1481,1488,,,41,54,7
Report,2020-12-19,OH,,,,,,,2760,648,,,
Admin,2020-12-20,OH,593,592,11011,10958,1565,1572,,,68,122,17
Report,2020-12-20,OH,,,,,,,0,648,,,
Admin,2020-12-21,OH,7314,7301,18325,18259,2594,2603,,,12,134,18
Report,2020-12-21,OH,,,,,,,1394,847,,,
Admin,2020-12-22,OH,9838,9802,28163,28061,3872,3886,,,30,164,23
Report,2020-12-22,OH,,,,,,,0,847,,,
Admin,2020-12-23,OH,23127,23084,51290,51145,6890,6910,,,38,202,28
Report,2020-12-23,OH,,,,,,,2529,1208,,,
Admin,2020-12-24,OH,11640,11616,62930,62761,8176,8200,,,21,223,31
Report,2020-12-24,OH,,,,,,,3243,1599,,,
Admin,2020-12-25,OH,751,739,63681,63500,7644,7668,,,8,231,31
Report,2020-12-25,OH,,,,,,,13566,3356,,,
Admin,2020-12-26,OH,7310,7277,70991,70777,8630,8653,,,32,263,29
Report,2020-12-26,OH,,,,,,,25341,6582,,,
Admin,2020-12-27,OH,5112,5078,76103,75855,9271,9298,,,33,296,24
Report,2020-12-27,OH,,,,,,,0,6582,,,
Admin,2020-12-28,OH,26859,26684,102962,102539,12040,12091,,,173,469,47
Report,2020-12-28,OH,,,,,,,2319,6714,,,
Admin,2020-12-29,OH,31056,30735,134018,133274,15030,15122,,,313,782,88
Report,2020-12-29,OH,,,,,,,18725,9389,,,
Admin,2020-12-30,OH,37466,37172,171484,170446,17043,17170,,,284,1066,123
Report,2020-12-30,OH,,,,,,,0,9028,,,
Admin,2020-12-31,OH,18119,17966,189603,188412,17950,18096,,,151,1217,142
Report,2020-12-31,OH,,,,,,,22473,11775,,,
Admin,2021-01-01,OH,2383,2204,191986,190616,18159,18329,,,211,1428,171
Report,2021-01-01,OH,,,,,,,25338,13457,,,
Admin,2021-01-02,OH,6341,6248,198327,196864,18012,18190,,,92,1520,179
Report,2021-01-02,OH,,,,,,,32714,14510,,,
Admin,2021-01-03,OH,2774,2732,201101,199596,17677,17856,,,43,1563,181
Report,2021-01-03,OH,,,,,,,7691,15609,,,
Admin,2021-01-04,OH,26139,25700,227240,225296,17537,17754,,,421,1984,216
Report,2021-01-04,OH,,,,,,,0,15277,,,
Admin,2021-01-05,OH,28869,27522,256109,252818,17078,17441,,,1306,3290,358
Report,2021-01-05,OH,,,,,,,15812,14861,,,
Admin,2021-01-06,OH,34328,32438,290437,285256,16401,16993,,,1866,5156,584
Report,2021-01-06,OH,,,,,,,0,14861,,,
Admin,2021-01-07,OH,33577,31435,324014,316691,18326,19201,,,2103,7259,863
Report,2021-01-07,OH,,,,,,,0,11651,,,
Admin,2021-01-08,OH,31791,28084,355805,344775,22023,23402,,,3608,10867,1348
Report,2021-01-08,OH,,,,,,,47743,14851,,,
Admin,2021-01-09,OH,10163,9663,365968,354438,22511,23948,,,488,11355,1405
Report,2021-01-09,OH,,,,,,,29051,14328,,,
Admin,2021-01-10,OH,4014,3628,369982,358066,22639,24125,,,381,11736,1453
Report,2021-01-10,OH,,,,,,,0,13229,,,
Admin,2021-01-11,OH,27824,21541,397806,379607,22044,24366,,,6079,17815,2261
Report,2021-01-11,OH,,,,,,,51047,20522,,,
Admin,2021-01-12,OH,30815,24164,428621,403771,21565,24644,,,6515,24330,3005
Report,2021-01-12,OH,,,,,,,8368,19458,,,
Admin,2021-01-13,OH,35444,29152,464065,432923,21095,24804,,,6203,30533,3625
Report,2021-01-13,OH,,,,,,,17428,21948,,,
Admin,2021-01-14,OH,34546,31420,498611,464343,21093,24942,,,3031,33564,3757
Report,2021-01-14,OH,,,,,,,19106,24678,,,
Admin,2021-01-15,OH,30524,28321,529135,492664,21127,24761,,,2101,35665,3542
Report,2021-01-15,OH,,,,,,,27004,21715,,,
Admin,2021-01-16,OH,15288,12659,544423,505323,21555,25493,,,2568,38233,3839
Report,2021-01-16,OH,,,,,,,32005,22137,,,
Admin,2021-01-17,OH,6823,4304,551246,509627,21652,25894,,,2379,40612,4125
Report,2021-01-17,OH,,,,,,,53896,29836,,,
Admin,2021-01-18,OH,18617,11646,569863,521273,20238,24579,,,6674,47286,4210
Report,2021-01-18,OH,,,,,,,0,22544,,,
Admin,2021-01-19,OH,35975,24828,605838,546101,20333,25316,,,10796,58082,4821
Report,2021-01-19,OH,,,,,,,10755,22885,,,
Admin,2021-01-20,OH,57709,38600,663547,584701,21683,28497,,,18273,76355,6546
Report,2021-01-20,OH,,,,,,,15397,22595,,,
Admin,2021-01-21,OH,69140,56359,732687,641060,25245,33439,,,12466,88821,7893
Report,2021-01-21,OH,,,,,,,0,19865,,,
Admin,2021-01-22,OH,53595,47265,786282,688325,27952,36735,,,6135,94956,8470
Report,2021-01-22,OH,,,,,,,58018,24296,,,
Admin,2021-01-23,OH,36185,31075,822467,719400,30582,39720,,,4704,99660,8775
Report,2021-01-23,OH,,,,,,,49425,26784,,,
Admin,2021-01-24,OH,10871,8498,833338,727898,31182,40298,,,2258,101918,8758
Report,2021-01-24,OH,,,,,,,52180,26539,,,
Admin,2021-01-25,OH,46648,24553,879986,752451,33025,44303,,,21582,123500,10887
Report,2021-01-25,OH,,,,,,,38518,32042,,,
Admin,2021-01-26,OH,59126,31239,939112,783690,33941,47610,,,27273,150773,13241
Report,2021-01-26,OH,,,,,,,22404,33706,,,
