Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:15:28 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,MD,,,,,,,0,0,,,
Admin,2020-12-14,MD,38,38,350,311,156,175,,,7,52,26
Report,2020-12-14,MD,,,,,,,0,0,,,
Admin,2020-12-15,MD,156,154,506,465,155,168,,,11,63,21
Report,2020-12-15,MD,,,,,,,0,0,,,
Admin,2020-12-16,MD,934,929,1440,1394,349,360,,,6,69,17
Report,2020-12-16,MD,,,,,,,0,0,,,
Admin,2020-12-17,MD,1550,1542,2990,2936,587,598,,,9,78,15
Report,2020-12-17,MD,,,,,,,3,1,,,
Admin,2020-12-18,MD,3144,3134,6134,6070,1012,1022,,,14,92,15
Report,2020-12-18,MD,,,,,,,518,87,,,
Admin,2020-12-19,MD,1054,1052,7188,7122,1017,1026,,,4,96,13
Report,2020-12-19,MD,,,,,,,0,74,,,
Admin,2020-12-20,MD,407,403,7595,7525,1036,1040,,,3,99,7
Report,2020-12-20,MD,,,,,,,3317,548,,,
Admin,2020-12-21,MD,4212,4201,11807,11726,1631,1636,,,16,115,9
Report,2020-12-21,MD,,,,,,,829,667,,,
Admin,2020-12-22,MD,6971,6961,18778,18687,2603,2610,,,14,129,9
Report,2020-12-22,MD,,,,,,,261,704,,,
Admin,2020-12-23,MD,6633,6607,25411,25294,3414,3424,,,21,150,11
Report,2020-12-23,MD,,,,,,,3356,1183,,,
Admin,2020-12-24,MD,2738,2728,28149,28022,3584,3594,,,8,158,11
Report,2020-12-24,MD,,,,,,,3516,1685,,,
Admin,2020-12-25,MD,1039,1034,29188,29056,3284,3293,,,5,163,10
Report,2020-12-25,MD,,,,,,,4052,2190,,,
Admin,2020-12-26,MD,1914,1903,31102,30959,3405,3416,,,8,171,10
Report,2020-12-26,MD,,,,,,,3076,2630,,,
Admin,2020-12-27,MD,1822,1793,32924,32752,3604,3618,,,12,183,12
Report,2020-12-27,MD,,,,,,,1966,2437,,,
Admin,2020-12-28,MD,9444,9405,42368,42157,4347,4365,,,34,217,14
Report,2020-12-28,MD,,,,,,,2080,2615,,,
Admin,2020-12-29,MD,11433,11396,53801,53553,4981,5003,,,32,249,17
Report,2020-12-29,MD,,,,,,,8161,3744,,,
Admin,2020-12-30,MD,13266,13201,67067,66754,5923,5950,,,62,311,23
Report,2020-12-30,MD,,,,,,,8459,4473,,,
Admin,2020-12-31,MD,7910,7873,74977,74627,6658,6689,,,32,343,26
Report,2020-12-31,MD,,,,,,,10718,5502,,,
Admin,2021-01-01,MD,2438,2330,77415,76957,6843,6889,,,115,458,42
Report,2021-01-01,MD,,,,,,,7316,5968,,,
Admin,2021-01-02,MD,3027,2990,80442,79947,6998,7048,,,33,491,45
Report,2021-01-02,MD,,,,,,,2262,5852,,,
