Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:11:17 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,CA,,,,,,,0,0,,,
Admin,2020-12-14,CA,32,30,1859,1495,748,929,,,2,311,155
Report,2020-12-14,CA,,,,,,,0,0,,,
Admin,2020-12-15,CA,1304,1286,3163,2781,927,1054,,,24,335,111
Report,2020-12-15,CA,,,,,,,0,0,,,
Admin,2020-12-16,CA,9979,9734,13142,12515,3129,3285,,,18,353,88
Report,2020-12-16,CA,,,,,,,4,1,,,
Admin,2020-12-17,CA,30337,30105,43479,42620,8524,8695,,,74,427,85
Report,2020-12-17,CA,,,,,,,269,55,,,
Admin,2020-12-18,CA,50094,49517,93573,92137,15356,15595,,,96,523,87
Report,2020-12-18,CA,,,,,,,0,46,,,
Admin,2020-12-19,CA,27915,27681,121488,119818,17117,17355,,,34,557,79
Report,2020-12-19,CA,,,,,,,11140,1630,,,
Admin,2020-12-20,CA,20803,20604,142291,140422,19851,20066,,,115,672,51
Report,2020-12-20,CA,,,,,,,32485,6271,,,
Admin,2020-12-21,CA,53880,53337,196171,193759,27466,27758,,,47,719,58
Report,2020-12-21,CA,,,,,,,26318,10031,,,
Admin,2020-12-22,CA,57469,56655,253640,250414,35376,35782,,,75,794,65
Report,2020-12-22,CA,,,,,,,22487,13243,,,
Admin,2020-12-23,CA,58746,58102,312386,308516,42286,42749,,,78,872,74
Report,2020-12-23,CA,,,,,,,32894,17942,,,
Admin,2020-12-24,CA,27541,27166,339927,335682,41866,42349,,,106,978,78
Report,2020-12-24,CA,,,,,,,48513,24834,,,
Admin,2020-12-25,CA,2522,2513,342449,338195,35151,35553,,,4,982,65
Report,2020-12-25,CA,,,,,,,49990,31975,,,
Admin,2020-12-26,CA,16375,16276,358824,354471,33522,33905,,,15,997,62
Report,2020-12-26,CA,,,,,,,22615,33615,,,
Admin,2020-12-27,CA,10498,10409,369322,364880,32065,32433,,,77,1074,57
Report,2020-12-27,CA,,,,,,,2028,29264,,,
Admin,2020-12-28,CA,52405,52080,421727,416960,31886,32222,,,122,1196,68
Report,2020-12-28,CA,,,,,,,10316,26978,,,
Admin,2020-12-29,CA,59978,59411,481705,476371,32280,32580,,,85,1281,69
Report,2020-12-29,CA,,,,,,,7511,24838,,,
Admin,2020-12-30,CA,69660,69272,551365,545643,33875,34139,,,56,1337,66
Report,2020-12-30,CA,,,,,,,31515,24641,,,
Admin,2020-12-31,CA,35310,35093,586675,580736,35008,35249,,,69,1406,61
Report,2020-12-31,CA,,,,,,,35288,22752,,,
Admin,2021-01-01,CA,6811,6770,593486,587506,35616,35862,,,80,1486,72
Report,2021-01-01,CA,,,,,,,41124,21485,,,
Admin,2021-01-02,CA,20005,19463,613491,606969,36071,36381,,,100,1586,84
Report,2021-01-02,CA,,,,,,,37579,23623,,,
Admin,2021-01-03,CA,7038,6602,620529,613571,35527,35886,,,92,1678,86
Report,2021-01-03,CA,,,,,,,21470,26400,,,
Admin,2021-01-04,CA,51049,47565,671578,661136,34882,35693,,,2877,4555,479
Report,2021-01-04,CA,,,,,,,18156,27520,,,
Admin,2021-01-05,CA,62862,55639,734440,716775,34343,36105,,,6325,10880,1371
Report,2021-01-05,CA,,,,,,,5278,27201,,,
Admin,2021-01-06,CA,82465,64206,816905,780981,33620,37934,,,17556,28436,3871
Report,2021-01-06,CA,,,,,,,29107,26857,,,
Admin,2021-01-07,CA,103424,68189,920329,849170,38348,47664,,,34518,62954,8792
Report,2021-01-07,CA,,,,,,,42086,27829,,,
Admin,2021-01-08,CA,120786,73682,1041115,922852,47907,63947,,,45889,108843,15336
Report,2021-01-08,CA,,,,,,,56193,29981,,,
Admin,2021-01-09,CA,49004,30531,1090119,953383,49488,68089,,,18099,126942,17908
Report,2021-01-09,CA,,,,,,,66093,34055,,,
Admin,2021-01-10,CA,27347,15164,1117466,968547,50711,70991,,,11770,138712,19576
Report,2021-01-10,CA,,,,,,,82833,42821,,,
Admin,2021-01-11,CA,114578,68452,1232044,1036999,53695,80066,,,45011,183723,25595
Report,2021-01-11,CA,,,,,,,49346,47277,,,
Admin,2021-01-12,CA,125614,80480,1357658,1117479,57243,89031,,,44600,228323,31063
Report,2021-01-12,CA,,,,,,,33663,51332,,,
Admin,2021-01-13,CA,130831,93909,1488489,1211388,61487,95940,,,36391,264714,33754
Report,2021-01-13,CA,,,,,,,75188,57915,,,
Admin,2021-01-14,CA,136321,114895,1624810,1326283,68159,100640,,,20959,285673,31817
Report,2021-01-14,CA,,,,,,,83804,63874,,,
Admin,2021-01-15,CA,153787,135907,1778597,1462190,77048,105354,,,17099,302772,27704
Report,2021-01-15,CA,,,,,,,97666,69799,,,
Admin,2021-01-16,CA,87794,79187,1866391,1541377,83999,110896,,,8360,311132,26312
Report,2021-01-16,CA,,,,,,,120396,77557,,,
Admin,2021-01-17,CA,52698,47736,1919089,1589113,88652,114517,,,4571,315703,25284
Report,2021-01-17,CA,,,,,,,115159,82175,,,
Admin,2021-01-18,CA,92299,71359,2011388,1660472,89068,111334,,,20706,336409,21812
Report,2021-01-18,CA,,,,,,,89787,87952,,,
Admin,2021-01-19,CA,161101,125140,2172489,1785612,95448,116404,,,35166,371575,20464
Report,2021-01-19,CA,,,,,,,62129,92018,,,
Admin,2021-01-20,CA,181105,140800,2353594,1926412,102146,123586,,,39116,410691,20853
Report,2021-01-20,CA,,,,,,,71899,91549,,,
Admin,2021-01-21,CA,187992,164880,2541586,2091292,109287,130968,,,21941,432632,20994
Report,2021-01-21,CA,,,,,,,101546,94083,,,
Admin,2021-01-22,CA,190283,172723,2731869,2264015,114546,136181,,,16330,448962,20884
Report,2021-01-22,CA,,,,,,,169804,104389,,,
Admin,2021-01-23,CA,124224,109908,2856093,2373923,118935,141386,,,13083,462045,21559
Report,2021-01-23,CA,,,,,,,204541,116409,,,
Admin,2021-01-24,CA,68142,62770,2924235,2436693,121083,143592,,,4776,466821,21588
Report,2021-01-24,CA,,,,,,,191688,127342,,,
Admin,2021-01-25,CA,158957,118452,3083192,2555145,127810,153114,,,38979,505800,24198
Report,2021-01-25,CA,,,,,,,130725,133190,,,
Admin,2021-01-26,CA,190688,147413,3273880,2702558,130992,157341,,,41774,547574,25142
Report,2021-01-26,CA,,,,,,,115944,140878,,,
Admin,2021-01-27,CA,204967,159368,3478847,2861926,133645,160750,,,43103,590677,25712
Report,2021-01-27,CA,,,,,,,133089,149620,,,
Admin,2021-01-28,CA,211060,171148,3689907,3033074,134540,164045,,,38000,628677,28006
Report,2021-01-28,CA,,,,,,,167210,159000,,,
Admin,2021-01-29,CA,208473,167203,3898380,3200277,133752,166644,,,38842,667519,31222
Report,2021-01-29,CA,,,,,,,163686,158126,,,
Admin,2021-01-30,CA,143934,126107,4042314,3326384,136066,169460,,,16449,683968,31703
Report,2021-01-30,CA,,,,,,,185219,155366,,,
Admin,2021-01-31,CA,82150,76071,4124464,3402455,137966,171461,,,5454,689422,31800
Report,2021-01-31,CA,,,,,,,189570,155063,,,
Admin,2021-02-01,CA,188457,141158,4312921,3543613,141210,175675,,,43208,732630,32404
Report,2021-02-01,CA,,,,,,,167933,160379,,,
Admin,2021-02-02,CA,212536,160084,4525457,3703697,143020,178796,,,50236,782866,33613
Report,2021-02-02,CA,,,,,,,90533,156749,,,
Admin,2021-02-03,CA,244142,179383,4769599,3883080,145879,184393,,,59207,842073,35913
Report,2021-02-03,CA,,,,,,,127499,155950,,,
Admin,2021-02-04,CA,260236,188124,5029835,4071204,148304,191418,,,67125,909198,40074
Report,2021-02-04,CA,,,,,,,52487,139561,,,
Admin,2021-02-05,CA,277563,189427,5307398,4260631,151479,201288,,,83640,992838,46474
Report,2021-02-05,CA,,,,,,,196829,144296,,,
Admin,2021-02-06,CA,172866,134415,5480264,4395046,152666,205421,,,36421,1029259,49327
Report,2021-02-06,CA,,,,,,,216968,148831,,,
Admin,2021-02-07,CA,79005,59499,5559269,4454545,150299,204972,,,16830,1046089,50952
Report,2021-02-07,CA,,,,,,,347566,171402,,,
Admin,2021-02-08,CA,201808,134473,5761077,4589018,149344,206879,,,66229,1112318,54241
Report,2021-02-08,CA,,,,,,,197696,175654,,,
Admin,2021-02-09,CA,234947,144847,5996024,4733865,147167,210081,,,88440,1200758,59698
Report,2021-02-09,CA,,,,,,,101616,177237,,,
Admin,2021-02-10,CA,272845,154116,6268869,4887981,143557,214181,,,117390,1318148,68010
Report,2021-02-10,CA,,,,,,,172819,183712,,,
Admin,2021-02-11,CA,290242,163175,6559111,5051156,139993,218468,,,124450,1442598,76200
Report,2021-02-11,CA,,,,,,,177567,201580,,,
Admin,2021-02-12,CA,297981,163997,6857092,5215153,136360,221384,,,130229,1572827,82855
Report,2021-02-12,CA,,,,,,,206240,202925,,,
Admin,2021-02-13,CA,188152,106090,7045244,5321243,132314,223568,,,77346,1650173,88702
Report,2021-02-13,CA,,,,,,,221449,203565,,,
Admin,2021-02-14,CA,105018,59729,7150262,5380972,132347,227284,,,44756,1694929,92691
Report,2021-02-14,CA,,,,,,,257835,190746,,,
Admin,2021-02-15,CA,153529,88435,7303791,5469407,125770,220387,,,64277,1759206,92412
Report,2021-02-15,CA,,,,,,,214451,193140,,,
Admin,2021-02-16,CA,275576,149751,7579367,5619158,126470,226191,,,124758,1883964,97600
Report,2021-02-16,CA,,,,,,,176153,203788,,,
Admin,2021-02-17,CA,283163,143624,7862530,5762782,124972,227665,,,137918,2021882,100533
Report,2021-02-17,CA,,,,,,,112019,195102,,,
Admin,2021-02-18,CA,300521,151154,8163051,5913936,123254,229134,,,147674,2169556,103851
Report,2021-02-18,CA,,,,,,,173129,194468,,,
Admin,2021-02-19,CA,281823,149796,8444874,6063732,121226,226826,,,130370,2299926,103871
Report,2021-02-19,CA,,,,,,,468463,231928,,,
Admin,2021-02-20,CA,175347,98757,8620221,6162489,120178,224996,,,75593,2375519,103620
Report,2021-02-20,CA,,,,,,,237110,234166,,,
Admin,2021-02-21,CA,96828,53123,8717049,6215612,119234,223826,,,43356,2418875,103420
Report,2021-02-21,CA,,,,,,,251755,233297,,,
Admin,2021-02-22,CA,191755,102746,8908804,6318358,121279,229287,,,88204,2507079,106839
Report,2021-02-22,CA,,,,,,,151257,224269,,,
Admin,2021-02-23,CA,262508,136887,9171312,6455245,119441,227420,,,124014,2631093,106732
Report,2021-02-23,CA,,,,,,,123395,216733,,,
Admin,2021-02-24,CA,321526,167949,9492838,6623194,122916,232901,,,151787,2782880,108714
Report,2021-02-24,CA,,,,,,,147891,221857,,,
Admin,2021-02-25,CA,363698,205159,9856536,6828353,130631,241926,,,156088,2938968,109916
Report,2021-02-25,CA,,,,,,,188110,223997,,,
Admin,2021-02-26,CA,386235,227242,10242771,7055595,141695,256842,,,157158,3096126,113742
Report,2021-02-26,CA,,,,,,,246824,192335,,,
Admin,2021-02-27,CA,277417,165407,10520188,7221002,151216,271423,,,110445,3206571,118721
Report,2021-02-27,CA,,,,,,,255525,194965,,,
Admin,2021-02-28,CA,150981,93179,10671169,7314181,156938,279160,,,56752,3263323,120635
Report,2021-02-28,CA,,,,,,,254574,195368,,,
Admin,2021-03-01,CA,273028,163846,10944197,7478027,165667,290770,,,107277,3370600,123360
