Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:19:15 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,SC,,,,,,,0,0,,,
Admin,2020-12-14,SC,14,14,269,240,120,134,,,0,29,14
Report,2020-12-14,SC,,,,,,,5,3,,,
Admin,2020-12-15,SC,175,175,444,415,138,148,,,0,29,9
Report,2020-12-15,SC,,,,,,,148,51,,,
Admin,2020-12-16,SC,2431,2403,2875,2818,705,718,,,1,30,7
Report,2020-12-16,SC,,,,,,,2423,644,,,
Admin,2020-12-17,SC,4628,4530,7503,7348,1470,1500,,,4,34,6
Report,2020-12-17,SC,,,,,,,4255,1366,,,
Admin,2020-12-18,SC,6012,5739,13515,13087,2181,2252,,,10,44,7
Report,2020-12-18,SC,,,,,,,5340,2029,,,
Admin,2020-12-19,SC,2067,2005,15582,15092,2156,2226,,,10,54,7
Report,2020-12-19,SC,,,,,,,2275,2064,,,
Admin,2020-12-20,SC,503,501,16085,15593,2195,2261,,,2,56,3
Report,2020-12-20,SC,,,,,,,1724,2310,,,
Admin,2020-12-21,SC,4708,4672,20793,20265,2861,2932,,,7,63,4
Report,2020-12-21,SC,,,,,,,4444,2944,,,
Admin,2020-12-22,SC,6239,6187,27032,26452,3720,3798,,,7,70,5
Report,2020-12-22,SC,,,,,,,5663,3732,,,
Admin,2020-12-23,SC,5955,5922,32987,32374,4222,4301,,,7,77,6
Report,2020-12-23,SC,,,,,,,5519,4174,,,
Admin,2020-12-24,SC,819,816,33806,33190,3692,3757,,,4,81,6
Report,2020-12-24,SC,,,,,,,874,3691,,,
Admin,2020-12-25,SC,2,2,33808,33192,2872,2899,,,0,81,5
Report,2020-12-25,SC,,,,,,,1485,3141,,,
Admin,2020-12-26,SC,352,351,34160,33543,2636,2654,,,1,82,4
Report,2020-12-26,SC,,,,,,,347,2865,,,
Admin,2020-12-27,SC,229,229,34389,33772,2597,2614,,,0,82,3
Report,2020-12-27,SC,,,,,,,228,2651,,,
Admin,2020-12-28,SC,6167,5922,40556,39694,2776,2823,,,22,104,5
Report,2020-12-28,SC,,,,,,,3961,2582,,,
Admin,2020-12-29,SC,7576,7413,48132,47107,2951,3014,,,7,111,5
Report,2020-12-29,SC,,,,,,,3965,2340,,,
Admin,2020-12-30,SC,8567,8377,56699,55484,3301,3387,,,36,147,10
Report,2020-12-30,SC,,,,,,,5608,2353,,,
Admin,2020-12-31,SC,3734,3664,60433,59148,3708,3803,,,5,152,10
Report,2020-12-31,SC,,,,,,,1994,2513,,,
Admin,2021-01-01,SC,232,222,60665,59370,3740,3836,,,8,160,11
Report,2021-01-01,SC,,,,,,,938,2434,,,
Admin,2021-01-02,SC,1855,1688,62520,61058,3931,4051,,,105,265,26
Report,2021-01-02,SC,,,,,,,1411,2586,,,
Admin,2021-01-03,SC,767,750,63287,61808,4005,4128,,,5,270,26
Report,2021-01-03,SC,,,,,,,451,2618,,,
Admin,2021-01-04,SC,9033,7919,72320,69727,4290,4537,,,886,1156,150
Report,2021-01-04,SC,,,,,,,8557,3275,,,
Admin,2021-01-05,SC,9889,8481,82209,78208,4443,4868,,,1365,2521,344
Report,2021-01-05,SC,,,,,,,7409,3767,,,
Admin,2021-01-06,SC,10795,7907,93004,86115,4376,5186,,,2622,5143,713
Report,2021-01-06,SC,,,,,,,51744,10358,,,
Admin,2021-01-07,SC,14137,9499,107141,95614,5209,6672,,,4551,9694,1363
Report,2021-01-07,SC,,,,,,,16318,12404,,,
Admin,2021-01-08,SC,16886,11124,124027,106738,6767,9051,,,5679,15373,2173
Report,2021-01-08,SC,,,,,,,18217,14872,,,
Admin,2021-01-09,SC,3123,1793,127150,108531,6782,9232,,,1327,16700,2347
Report,2021-01-09,SC,,,,,,,7507,15743,,,
Admin,2021-01-10,SC,878,667,128028,109198,6770,9248,,,194,16894,2374
Report,2021-01-10,SC,,,,,,,368,15731,,,
Admin,2021-01-11,SC,13346,9049,141374,118247,6931,9864,,,4178,21072,2845
Report,2021-01-11,SC,,,,,,,-82103,2780,,,
Admin,2021-01-12,SC,16026,11271,157400,129518,7330,10741,,,4152,25224,3243
Report,2021-01-12,SC,,,,,,,18812,4409,,,
Admin,2021-01-13,SC,17308,14415,174708,143933,8260,11672,,,2738,27962,3259
Report,2021-01-13,SC,,,,,,,0,-2983,,,
Admin,2021-01-14,SC,17377,15353,192085,159286,9096,12134,,,1909,29871,2882
Report,2021-01-14,SC,,,,,,,21949,-2179,,,
Admin,2021-01-15,SC,17875,15076,209960,174362,9661,12276,,,2642,32513,2448
Report,2021-01-15,SC,,,,,,,23075,-1485,,,
Admin,2021-01-16,SC,5283,4733,215243,179095,10081,12584,,,521,33034,2333
Report,2021-01-16,SC,,,,,,,20884,426,,,
Admin,2021-01-17,SC,2057,1916,217300,181011,10259,12753,,,90,33124,2318
Report,2021-01-17,SC,,,,,,,16574,2742,,,
Admin,2021-01-18,SC,15688,13063,232988,194074,10832,13087,,,2516,35640,2081
Report,2021-01-18,SC,,,,,,,4806,15157,,,
Admin,2021-01-19,SC,24352,20514,257340,214588,12153,14277,,,3723,39363,2019
Report,2021-01-19,SC,,,,,,,5433,13246,,,
Admin,2021-01-20,SC,27808,23594,285148,238182,13464,15777,,,4016,43379,2202
Report,2021-01-20,SC,,,,,,,0,13246,,,
Admin,2021-01-21,SC,31733,27994,316881,266176,15270,17828,,,3579,46958,2441
Report,2021-01-21,SC,,,,,,,17023,12542,,,
Admin,2021-01-22,SC,32889,28927,349770,295103,17249,19972,,,3812,50770,2608
Report,2021-01-22,SC,,,,,,,19371,12013,,,
Admin,2021-01-23,SC,14797,13845,364567,308948,18550,21332,,,875,51645,2658
Report,2021-01-23,SC,,,,,,,20153,11909,,,
Admin,2021-01-24,SC,3964,3811,368531,312759,18821,21604,,,139,51784,2665
Report,2021-01-24,SC,,,,,,,29640,13775,,,
Admin,2021-01-25,SC,24528,17547,393059,330306,19462,22867,,,6849,58633,3284
Report,2021-01-25,SC,,,,,,,28553,17168,,,
Admin,2021-01-26,SC,26499,19238,419558,349544,19279,23174,,,7082,65715,3764
Report,2021-01-26,SC,,,,,,,9863,17800,,,
Admin,2021-01-27,SC,29426,21387,448984,370931,18964,23405,,,6778,72493,4159
Report,2021-01-27,SC,,,,,,,9774,19197,,,
Admin,2021-01-28,SC,28745,21942,477729,392873,18100,22978,,,6664,79157,4599
Report,2021-01-28,SC,,,,,,,32964,21474,,,
Admin,2021-01-29,SC,27221,18826,504950,411699,16657,22168,,,8195,87352,5226
Report,2021-01-29,SC,,,,,,,25209,22308,,,
Admin,2021-01-30,SC,13696,11946,518646,423645,16385,22011,,,1706,89058,5344
Report,2021-01-30,SC,,,,,,,22702,22672,,,
Admin,2021-01-31,SC,3824,3229,522470,426874,16302,21991,,,582,89640,5408
Report,2021-01-31,SC,,,,,,,31681,22964,,,
Admin,2021-02-01,SC,27014,16165,549484,443039,16105,22346,,,9576,99216,5797
Report,2021-02-01,SC,,,,,,,23210,22200,,,
Admin,2021-02-02,SC,30076,20130,579560,463169,16232,22857,,,9622,108838,6160
Report,2021-02-02,SC,,,,,,,7945,21926,,,
Admin,2021-02-03,SC,31460,20910,611020,484079,16164,23148,,,10032,118870,6625
Report,2021-02-03,SC,,,,,,,8506,21745,,,
Admin,2021-02-04,SC,32669,20563,643689,504642,15967,23708,,,11244,130114,7279
Report,2021-02-04,SC,,,,,,,18231,19641,,,
Admin,2021-02-05,SC,32470,17628,676159,522270,15796,24458,,,13664,143778,8060
Report,2021-02-05,SC,,,,,,,21459,19105,,,
Admin,2021-02-06,SC,14757,9524,690916,531794,15450,24610,,,5173,148951,8556
Report,2021-02-06,SC,,,,,,,23987,19288,,,
Admin,2021-02-07,SC,2527,1623,693443,533417,15220,24424,,,901,149852,8601
Report,2021-02-07,SC,,,,,,,26038,18482,,,
Admin,2021-02-08,SC,26529,12963,719972,546380,14763,24355,,,12391,162243,9003
Report,2021-02-08,SC,,,,,,,16775,17563,,,
Admin,2021-02-09,SC,29325,15735,749297,562115,14135,24248,,,12257,174500,9380
Report,2021-02-09,SC,,,,,,,0,16428,,,
Admin,2021-02-10,SC,30043,14199,779340,576314,13176,24045,,,14770,189270,10057
Report,2021-02-10,SC,,,,,,,22370,18409,,,
Admin,2021-02-11,SC,35188,15140,814528,591454,12402,24405,,,18879,208149,11147
Report,2021-02-11,SC,,,,,,,20434,18723,,,
Admin,2021-02-12,SC,41489,17858,856017,609312,12435,25694,,,21946,230095,12331
Report,2021-02-12,SC,,,,,,,20879,18640,,,
Admin,2021-02-13,SC,20003,10632,876020,619944,12593,26443,,,9003,239098,12878
Report,2021-02-13,SC,,,,,,,25468,18852,,,
Admin,2021-02-14,SC,7618,4351,883638,624295,12983,27170,,,3155,242253,13200
Report,2021-02-14,SC,,,,,,,29343,19324,,,
Admin,2021-02-15,SC,32714,14835,916352,639130,13250,28054,,,15942,258195,13707
Report,2021-02-15,SC,,,,,,,22372,20124,,,
