Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:19:45 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,TX,,,,,,,0,0,,,
Admin,2020-12-14,TX,515,515,523,523,262,261,,,0,0,0
Report,2020-12-14,TX,,,,,,,441,221,,,
Admin,2020-12-15,TX,8322,8240,8845,8763,2921,2948,,,8,8,2
Report,2020-12-15,TX,,,,,,,7375,2605,,,
Admin,2020-12-16,TX,22551,22495,31396,31258,7815,7849,,,8,16,4
Report,2020-12-16,TX,,,,,,,22154,7493,,,
Admin,2020-12-17,TX,28151,28088,59547,59346,11869,11909,,,12,28,5
Report,2020-12-17,TX,,,,,,,28180,11630,,,
Admin,2020-12-18,TX,43385,43364,102932,102710,17118,17155,,,16,44,7
Report,2020-12-18,TX,,,,,,,41890,16673,,,
Admin,2020-12-19,TX,20529,20499,123461,123209,17601,17637,,,29,73,10
Report,2020-12-19,TX,,,,,,,19478,17074,,,
Admin,2020-12-20,TX,11331,11321,134792,134530,19217,19254,,,11,84,12
Report,2020-12-20,TX,,,,,,,10382,18557,,,
Admin,2020-12-21,TX,32818,32674,167610,167204,23812,23869,,,141,225,32
Report,2020-12-21,TX,,,,,,,31162,22946,,,
Admin,2020-12-22,TX,31515,30799,199125,198003,27034,27182,,,715,940,133
Report,2020-12-22,TX,,,,,,,30653,26271,,,
Admin,2020-12-23,TX,44260,43838,243385,241841,30083,30284,,,420,1360,192
Report,2020-12-23,TX,,,,,,,40606,28907,,,
Admin,2020-12-24,TX,19117,19029,262502,260870,28789,28993,,,89,1449,203
Report,2020-12-24,TX,,,,,,,17683,27408,,,
Admin,2020-12-25,TX,2611,2611,265113,263481,22967,23168,,,0,1449,200
Report,2020-12-25,TX,,,,,,,2570,21791,,,
Admin,2020-12-26,TX,13014,12987,278127,276468,21894,22095,,,28,1477,200
Report,2020-12-26,TX,,,,,,,12245,20757,,,
Admin,2020-12-27,TX,9613,9580,287740,286048,21645,21849,,,34,1511,203
Report,2020-12-27,TX,,,,,,,9171,20584,,,
Admin,2020-12-28,TX,54535,54463,342275,340511,24758,24952,,,73,1584,194
Report,2020-12-28,TX,,,,,,,48510,23063,,,
Admin,2020-12-29,TX,72365,72248,414640,412759,30679,30787,,,116,1700,108
Report,2020-12-29,TX,,,,,,,66304,28156,,,
Admin,2020-12-30,TX,90686,88807,505326,501566,37104,37420,,,1879,3579,317
Report,2020-12-30,TX,,,,,,,80251,33819,,,
Admin,2020-12-31,TX,52494,52274,557820,553840,41853,42188,,,222,3801,336
Report,2020-12-31,TX,,,,,,,48945,38285,,,
Admin,2021-01-01,TX,7136,6869,564956,560709,42461,42834,,,297,4098,378
Report,2021-01-01,TX,,,,,,,5266,38670,,,
Admin,2021-01-02,TX,27262,26768,592218,587477,44430,44870,,,491,4589,444
Report,2021-01-02,TX,,,,,,,23392,40263,,,
Admin,2021-01-03,TX,16293,16084,608511,603561,45359,45824,,,209,4798,469
Report,2021-01-03,TX,,,,,,,14272,40991,,,
Admin,2021-01-04,TX,73750,66992,682261,670553,47149,48569,,,6751,11549,1423
Report,2021-01-04,TX,,,,,,,62776,43029,,,
Admin,2021-01-05,TX,83519,72322,765780,742875,47159,50162,,,11183,22732,3004
Report,2021-01-05,TX,,,,,,,70146,43578,,,
Admin,2021-01-06,TX,104027,81137,869807,824012,46064,52068,,,22819,45551,5996
Report,2021-01-06,TX,,,,,,,85000,44257,,,
Admin,2021-01-07,TX,111940,82619,981747,906631,50399,60561,,,28786,74337,10076
Report,2021-01-07,TX,,,,,,,94561,50773,,,
Admin,2021-01-08,TX,119323,80671,1101070,987302,60942,76587,,,38092,112429,15475
Report,2021-01-08,TX,,,,,,,97537,63955,,,
Admin,2021-01-09,TX,55966,42203,1157036,1029505,63147,80688,,,13661,126090,17357
Report,2021-01-09,TX,,,,,,,46943,67319,,,
Admin,2021-01-10,TX,20988,16252,1178024,1045757,63171,81359,,,4709,130799,18000
Report,2021-01-10,TX,,,,,,,22050,68430,,,
Admin,2021-01-11,TX,88624,63206,1266648,1108963,62630,83483,,,25175,155974,20632
Report,2021-01-11,TX,,,,,,,75725,70280,,,
Admin,2021-01-12,TX,104357,84578,1371005,1193541,64381,86460,,,19684,175658,21846
Report,2021-01-12,TX,,,,,,,80663,71783,,,
Admin,2021-01-13,TX,103749,85755,1474754,1279296,65041,86421,,,17951,193609,21151
Report,2021-01-13,TX,,,,,,,83848,71618,,,
Admin,2021-01-14,TX,99118,91962,1573872,1371258,66375,84589,,,7116,200725,18055
Report,2021-01-14,TX,,,,,,,78112,69268,,,
Admin,2021-01-15,TX,96333,88246,1670205,1459504,67457,81305,,,8045,208770,13763
Report,2021-01-15,TX,,,,,,,70843,65455,,,
Admin,2021-01-16,TX,64359,60518,1734564,1520022,70074,82504,,,3796,212566,12353
Report,2021-01-16,TX,,,,,,,47095,65477,,,
Admin,2021-01-17,TX,14400,12246,1748964,1532268,69502,81562,,,2142,214708,11987
Report,2021-01-17,TX,,,,,,,12527,64116,,,
Admin,2021-01-18,TX,48644,32011,1797608,1564279,65045,75851,,,16583,231291,10759
Report,2021-01-18,TX,,,,,,,35902,58427,,,
Admin,2021-01-19,TX,83291,57360,1880899,1621639,61157,72842,,,25859,257150,11641
Report,2021-01-19,TX,,,,,,,62689,55859,,,
Admin,2021-01-20,TX,112263,80142,1993162,1701781,60355,74058,,,32027,289177,13652
Report,2021-01-20,TX,,,,,,,-115601,27367,,,
Admin,2021-01-21,TX,108016,85088,2101178,1786869,59373,75329,,,22592,311769,15863
Report,2021-01-21,TX,,,,,,,72805,26609,,,
Admin,2021-01-22,TX,114033,87721,2215211,1874590,59298,77858,,,25962,337731,18423
Report,2021-01-22,TX,,,,,,,100230,30807,,,
Admin,2021-01-23,TX,66855,50462,2282066,1925052,57861,78214,,,16104,353835,20181
Report,2021-01-23,TX,,,,,,,83088,35949,,,
Admin,2021-01-24,TX,27962,20291,2310028,1945343,59011,80152,,,7558,361393,20955
Report,2021-01-24,TX,,,,,,,35430,39220,,,
Admin,2021-01-25,TX,108548,57971,2418576,2003314,62719,88709,,,50457,411850,25794
Report,2021-01-25,TX,,,,,,,40707,39907,,,
Admin,2021-01-26,TX,136411,80484,2554987,2083798,66023,96298,,,55810,467660,30072
Report,2021-01-26,TX,,,,,,,113890,47221,,,
Admin,2021-01-27,TX,157084,91593,2712071,2175391,67659,102701,,,64813,532473,34756
Report,2021-01-27,TX,,,,,,,56478,71804,,,
Admin,2021-01-28,TX,152463,98006,2864534,2273397,69504,109050,,,54083,586556,39255
Report,2021-01-28,TX,,,,,,,132631,80351,,,
Admin,2021-01-29,TX,144424,97913,3008958,2371310,70960,113392,,,45956,632512,42111
Report,2021-01-29,TX,,,,,,,112862,82155,,,
Admin,2021-01-30,TX,74315,51949,3083273,2423259,71172,114458,,,22117,654629,42970
Report,2021-01-30,TX,,,,,,,120791,87541,,,
Admin,2021-01-31,TX,26818,14122,3110091,2437381,70291,114294,,,12541,667170,43682
Report,2021-01-31,TX,,,,,,,68221,92226,,,
Admin,2021-02-01,TX,122232,62240,3232323,2499621,70901,116249,,,59822,726992,45020
Report,2021-02-01,TX,,,,,,,87353,98889,,,
Admin,2021-02-02,TX,152280,85642,3384603,2585263,71638,118516,,,66499,793491,46547
Report,2021-02-02,TX,,,,,,,0,82619,,,
Admin,2021-02-03,TX,174786,100917,3559389,2686180,72970,121045,,,73699,867190,47816
Report,2021-02-03,TX,,,,,,,156664,96932,,,
Admin,2021-02-04,TX,196394,123801,3755783,2809981,76655,127321,,,72420,939610,50436
Report,2021-02-04,TX,,,,,,,152463,99765,,,
Admin,2021-02-05,TX,204279,121833,3960062,2931814,80072,135872,,,82222,1021832,55617
Report,2021-02-05,TX,,,,,,,125408,101557,,,
Admin,2021-02-06,TX,125610,76909,4085672,3008723,83638,143199,,,48550,1070382,59393
Report,2021-02-06,TX,,,,,,,177169,109611,,,
Admin,2021-02-07,TX,32260,21027,4117932,3029750,84624,143977,,,11156,1081538,59195
Report,2021-02-07,TX,,,,,,,138702,119680,,,
Admin,2021-02-08,TX,106672,50321,4224604,3080071,82921,141754,,,56171,1137709,58673
Report,2021-02-08,TX,,,,,,,75424,117976,,,
Admin,2021-02-09,TX,153649,79605,4378253,3159676,82059,141950,,,73748,1211457,59709
Report,2021-02-09,TX,,,,,,,114118,134278,,,
Admin,2021-02-10,TX,182204,95755,4560457,3255431,81322,143009,,,86079,1297536,61478
Report,2021-02-10,TX,,,,,,,132438,130817,,,
Admin,2021-02-11,TX,150165,79056,4710622,3334487,74929,136405,,,70899,1368435,61260
Report,2021-02-11,TX,,,,,,,139842,129014,,,
Admin,2021-02-12,TX,185394,87102,4896016,3421589,69968,133707,,,97893,1466328,63499
Report,2021-02-12,TX,,,,,,,165121,134688,,,
Admin,2021-02-13,TX,100412,46785,4996428,3468374,65664,130108,,,53369,1519697,64187
Report,2021-02-13,TX,,,,,,,134405,128579,,,
Admin,2021-02-14,TX,26089,12345,5022517,3480719,64424,129226,,,13689,1533386,64549
Report,2021-02-14,TX,,,,,,,125761,126730,,,
Admin,2021-02-15,TX,15029,9107,5037546,3489826,58536,116134,,,5817,1539203,57356
Report,2021-02-15,TX,,,,,,,65152,125262,,,
Admin,2021-02-16,TX,24554,11960,5062100,3501786,48873,97692,,,12411,1551614,48593
Report,2021-02-16,TX,,,,,,,57484,117172,,,
Admin,2021-02-17,TX,24777,10281,5086877,3512067,36662,75202,,,14349,1565963,38346
Report,2021-02-17,TX,,,,,,,55918,106240,,,
Admin,2021-02-18,TX,45699,20664,5132576,3532731,28321,60279,,,24877,1590840,31772
Report,2021-02-18,TX,,,,,,,21425,89324,,,
Admin,2021-02-19,TX,72597,25411,5205173,3558142,19508,44165,,,46893,1637733,24486
Report,2021-02-19,TX,,,,,,,208896,95577,,,
Admin,2021-02-20,TX,92031,36269,5297204,3594411,18005,42968,,,55436,1693169,24781
Report,2021-02-20,TX,,,,,,,72075,86673,,,
Admin,2021-02-21,TX,62224,15232,5359428,3609643,18418,48130,,,46680,1739849,29494
Report,2021-02-21,TX,,,,,,,59171,77160,,,
Admin,2021-02-22,TX,119817,37230,5479245,3646873,22435,63099,,,81780,1821629,40346
Report,2021-02-22,TX,,,,,,,37312,73183,,,
Admin,2021-02-23,TX,138161,49223,5617406,3696096,27759,79329,,,88264,1909893,51182
Report,2021-02-23,TX,,,,,,,89106,77700,,,
Admin,2021-02-24,TX,211612,87686,5829018,3783782,38816,106020,,,123155,2033048,66726
Report,2021-02-24,TX,,,,,,,123674,87380,,,
Admin,2021-02-25,TX,262988,119334,6092006,3903116,52912,137061,,,142895,2175943,83586
Report,2021-02-25,TX,,,,,,,183297,110504,,,
Admin,2021-02-26,TX,299053,157263,6391059,4060379,71748,169412,,,140589,2316532,96971
Report,2021-02-26,TX,,,,,,,165820,104351,,,
Admin,2021-02-27,TX,190297,102341,6581356,4162720,81187,183450,,,87244,2403776,101515
Report,2021-02-27,TX,,,,,,,121884,111466,,,
Admin,2021-02-28,TX,76249,49367,6657605,4212087,86063,185453,,,26124,2429900,98578
Report,2021-02-28,TX,,,,,,,171651,127535,,,
