Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:14:50 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,IA,,,,,,,0,0,,,
Admin,2020-12-14,IA,187,187,206,204,102,103,,,0,2,1
Report,2020-12-14,IA,,,,,,,0,0,,,
Admin,2020-12-15,IA,785,700,991,904,301,330,,,0,2,0
Report,2020-12-15,IA,,,,,,,0,0,,,
Admin,2020-12-16,IA,1354,1273,2345,2177,544,586,,,2,4,1
Report,2020-12-16,IA,,,,,,,399,100,,,
Admin,2020-12-17,IA,1717,1705,4062,3882,776,812,,,0,4,0
Report,2020-12-17,IA,,,,,,,1294,339,,,
Admin,2020-12-18,IA,2763,2689,6825,6571,1095,1137,,,4,8,1
Report,2020-12-18,IA,,,,,,,0,282,,,
Admin,2020-12-19,IA,433,432,7258,7003,1000,1036,,,1,9,1
Report,2020-12-19,IA,,,,,,,4324,860,,,
Admin,2020-12-20,IA,93,93,7351,7096,1011,1047,,,0,9,1
Report,2020-12-20,IA,,,,,,,923,991,,,
Admin,2020-12-21,IA,2624,2621,9975,9717,1359,1395,,,0,9,1
Report,2020-12-21,IA,,,,,,,91,1004,,,
Admin,2020-12-22,IA,5095,5000,15070,14717,1973,2011,,,0,9,1
Report,2020-12-22,IA,,,,,,,1695,1247,,,
Admin,2020-12-23,IA,9698,9313,24768,24030,3122,3203,,,1,10,0
Report,2020-12-23,IA,,,,,,,4503,1833,,,
Admin,2020-12-24,IA,1917,1802,26685,25832,3136,3231,,,2,12,1
Report,2020-12-24,IA,,,,,,,8112,2807,,,
Admin,2020-12-25,IA,2,2,26687,25834,2752,2837,,,0,12,0
Report,2020-12-25,IA,,,,,,,3410,3294,,,
Admin,2020-12-26,IA,607,606,27294,26440,2777,2862,,,1,13,0
Report,2020-12-26,IA,,,,,,,0,2676,,,
Admin,2020-12-27,IA,501,493,27795,26933,2834,2920,,,0,13,0
Report,2020-12-27,IA,,,,,,,311,2589,,,
Admin,2020-12-28,IA,9048,8868,36843,35801,3726,3838,,,0,13,0
Report,2020-12-28,IA,,,,,,,511,2649,,,
Admin,2020-12-29,IA,7883,7741,44726,43542,4118,4236,,,22,35,3
Report,2020-12-29,IA,,,,,,,6134,3283,,,
Admin,2020-12-30,IA,10040,9846,54766,53388,4194,4285,,,2,37,3
Report,2020-12-30,IA,,,,,,,0,2640,,,
Admin,2020-12-31,IA,5261,5232,60027,58620,4684,4763,,,0,37,3
Report,2020-12-31,IA,,,,,,,13882,3464,,,
Admin,2021-01-01,IA,284,284,60311,58904,4724,4803,,,0,37,3
Report,2021-01-01,IA,,,,,,,5523,3766,,,
Admin,2021-01-02,IA,1987,1986,62298,60890,4921,5000,,,0,37,3
Report,2021-01-02,IA,,,,,,,2079,4063,,,
Admin,2021-01-03,IA,1308,1308,63606,62198,5038,5115,,,0,37,3
Report,2021-01-03,IA,,,,,,,1689,4260,,,
Admin,2021-01-04,IA,6649,6421,70255,68619,4688,4773,,,12,49,5
Report,2021-01-04,IA,,,,,,,615,4275,,,
Admin,2021-01-05,IA,8644,7364,78899,75983,4634,4881,,,1262,1311,182
Report,2021-01-05,IA,,,,,,,4642,4061,,,
Admin,2021-01-06,IA,8917,8170,87816,84153,4395,4721,,,706,2017,282
Report,2021-01-06,IA,,,,,,,5914,4906,,,
Admin,2021-01-07,IA,8437,7112,96253,91265,4664,5175,,,1108,3125,441
Report,2021-01-07,IA,,,,,,,8173,4091,,,
Admin,2021-01-08,IA,11255,8551,107508,99816,5845,6742,,,2174,5299,751
Report,2021-01-08,IA,,,,,,,6397,4216,,,
Admin,2021-01-09,IA,3696,3118,111204,102934,6006,6986,,,576,5875,834
Report,2021-01-09,IA,,,,,,,11554,5569,,,
Admin,2021-01-10,IA,1367,1282,112571,104216,6003,6995,,,84,5959,846
Report,2021-01-10,IA,,,,,,,3556,5836,,,
Admin,2021-01-11,IA,8156,6085,120727,110301,5955,7210,,,1832,7791,1106
Report,2021-01-11,IA,,,,,,,2960,6171,,,
Admin,2021-01-12,IA,9096,7225,129823,117526,5935,7274,,,1849,9640,1189
Report,2021-01-12,IA,,,,,,,5355,6273,,,
Admin,2021-01-13,IA,9355,7719,139178,125245,5870,7337,,,1629,11269,1321
Report,2021-01-13,IA,,,,,,,8047,6577,,,
Admin,2021-01-14,IA,9558,8660,148736,133905,6091,7497,,,809,12078,1279
Report,2021-01-14,IA,,,,,,,8890,6680,,,
Admin,2021-01-15,IA,7631,6888,156367,140793,5854,6979,,,715,12793,1070
Report,2021-01-15,IA,,,,,,,7123,6784,,,
Admin,2021-01-16,IA,3836,3686,160203,144479,5935,6999,,,136,12929,1007
Report,2021-01-16,IA,,,,,,,7349,6183,,,
Admin,2021-01-17,IA,1475,1293,161678,145772,5937,7015,,,182,13111,1021
Report,2021-01-17,IA,,,,,,,7435,6737,,,
Admin,2021-01-18,IA,8687,5569,170365,151341,5863,7091,,,3092,16203,1201
Report,2021-01-18,IA,,,,,,,2065,6609,,,
Admin,2021-01-19,IA,8743,4539,179108,155880,5479,7040,,,4141,20344,1529
Report,2021-01-19,IA,,,,,,,4895,6543,,,
Admin,2021-01-20,IA,12632,5726,191740,161606,5194,7508,,,6879,27223,2279
Report,2021-01-20,IA,,,,,,,0,5394,,,
Admin,2021-01-21,IA,10867,6469,202607,168075,4881,7695,,,4175,31398,2760
Report,2021-01-21,IA,,,,,,,8893,5394,,,
Admin,2021-01-22,IA,10629,7339,213236,175414,4946,8124,,,3200,34598,3115
Report,2021-01-22,IA,,,,,,,11864,6072,,,
Admin,2021-01-23,IA,3994,2939,217230,178353,4839,8146,,,1030,35628,3242
Report,2021-01-23,IA,,,,,,,9503,6379,,,
Admin,2021-01-24,IA,2356,1311,219586,179664,4842,8272,,,991,36619,3358
Report,2021-01-24,IA,,,,,,,11073,6899,,,
Admin,2021-01-25,IA,11164,4732,230750,184396,4722,8626,,,6415,43034,3833
Report,2021-01-25,IA,,,,,,,5020,7321,,,
Admin,2021-01-26,IA,10859,4553,241609,188949,4724,8928,,,6154,49188,4120
Report,2021-01-26,IA,,,,,,,1779,6876,,,
Admin,2021-01-27,IA,17626,8008,259235,196957,5050,9642,,,9469,58657,4490
Report,2021-01-27,IA,,,,,,,6214,7764,,,
Admin,2021-01-28,IA,14523,8047,273758,205004,5276,10164,,,6425,65082,4812
Report,2021-01-28,IA,,,,,,,8301,7679,,,
Admin,2021-01-29,IA,15338,8208,289096,213212,5400,10837,,,6999,72081,5354
Report,2021-01-29,IA,,,,,,,11850,7677,,,
Admin,2021-01-30,IA,4291,2192,293387,215404,5293,10879,,,2093,74174,5506
Report,2021-01-30,IA,,,,,,,13527,8252,,,
Admin,2021-01-31,IA,2680,1404,296067,216808,5306,10925,,,1221,75395,5539
Report,2021-01-31,IA,,,,,,,14328,8717,,,
Admin,2021-02-01,IA,12841,6382,308908,223190,5542,11165,,,6356,81751,5531
Report,2021-02-01,IA,,,,,,,5266,8752,,,
Admin,2021-02-02,IA,15407,8312,324315,231502,6079,11815,,,6753,88504,5616
Report,2021-02-02,IA,,,,,,,2054,8791,,,
Admin,2021-02-03,IA,21304,12183,345619,243685,6675,12340,,,8349,96853,5456
Report,2021-02-03,IA,,,,,,,7255,8940,,,
Admin,2021-02-04,IA,16041,9535,361660,253220,6888,12557,,,6403,103256,5453
Report,2021-02-04,IA,,,,,,,12475,9536,,,
Admin,2021-02-05,IA,29270,18287,390930,271507,8328,14547,,,10403,113659,5939
Report,2021-02-05,IA,,,,,,,14125,9861,,,
Admin,2021-02-06,IA,17571,14604,408501,286111,10101,16444,,,2799,116458,6040
Report,2021-02-06,IA,,,,,,,15150,10093,,,
Admin,2021-02-07,IA,6496,5107,414997,291218,10630,16990,,,1383,117841,6063
Report,2021-02-07,IA,,,,,,,19885,10887,,,
Admin,2021-02-08,IA,17442,11583,432439,302801,11373,17647,,,5754,123595,5977
Report,2021-02-08,IA,,,,,,,16938,12555,,,
Admin,2021-02-09,IA,19199,13931,451638,316732,12176,18189,,,5207,128802,5756
Report,2021-02-09,IA,,,,,,,6453,13183,,,
Admin,2021-02-10,IA,29341,23482,480979,340214,13790,19337,,,5677,134479,5375
Report,2021-02-10,IA,,,,,,,16956,14569,,,
Admin,2021-02-11,IA,28793,21887,509772,362101,15554,21158,,,6663,141142,5412
Report,2021-02-11,IA,,,,,,,18611,15445,,,
Admin,2021-02-12,IA,32363,24640,542135,386741,16462,21600,,,7559,148701,5006
Report,2021-02-12,IA,,,,,,,21208,16457,,,
Admin,2021-02-13,IA,16021,13600,558156,400341,16319,21379,,,2411,151112,4950
Report,2021-02-13,IA,,,,,,,23895,17707,,,
Admin,2021-02-14,IA,5551,4830,563707,405171,16279,21244,,,692,151804,4851
Report,2021-02-14,IA,,,,,,,24039,18300,,,
Admin,2021-02-15,IA,12156,9263,575863,414434,15948,20489,,,2856,154660,4437
Report,2021-02-15,IA,,,,,,,19379,18649,,,
Admin,2021-02-16,IA,14178,10264,590041,424698,15424,19771,,,3726,158386,4226
Report,2021-02-16,IA,,,,,,,9819,19130,,,
