Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:16:34 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,NV,,,,,,,0,0,,,
Admin,2020-12-14,NV,195,175,208,188,94,104,,,0,0,0
Report,2020-12-14,NV,,,,,,,0,0,,,
Admin,2020-12-15,NV,582,581,790,769,256,263,,,0,0,0
Report,2020-12-15,NV,,,,,,,0,0,,,
Admin,2020-12-16,NV,2332,2319,3122,3088,772,780,,,0,0,0
Report,2020-12-16,NV,,,,,,,173,43,,,
Admin,2020-12-17,NV,3543,3538,6665,6626,1325,1333,,,0,0,0
Report,2020-12-17,NV,,,,,,,521,139,,,
Admin,2020-12-18,NV,3263,3253,9928,9879,1647,1654,,,7,7,1
Report,2020-12-18,NV,,,,,,,1195,315,,,
Admin,2020-12-19,NV,1105,1104,11033,10983,1569,1576,,,0,7,1
Report,2020-12-19,NV,,,,,,,2867,679,,,
Admin,2020-12-20,NV,993,992,12026,11975,1709,1716,,,0,7,1
Report,2020-12-20,NV,,,,,,,2828,1083,,,
Admin,2020-12-21,NV,3834,3830,15860,15805,2231,2236,,,1,8,1
Report,2020-12-21,NV,,,,,,,1124,1244,,,
Admin,2020-12-22,NV,3872,3869,19732,19674,2701,2706,,,2,10,1
Report,2020-12-22,NV,,,,,,,982,1384,,,
Admin,2020-12-23,NV,3682,3677,23414,23351,2895,2898,,,2,12,1
Report,2020-12-23,NV,,,,,,,3157,1811,,,
Admin,2020-12-24,NV,1107,1105,24521,24456,2547,2550,,,0,12,1
Report,2020-12-24,NV,,,,,,,3302,2208,,,
Admin,2020-12-25,NV,38,38,24559,24494,2088,2090,,,0,12,0
Report,2020-12-25,NV,,,,,,,2892,2450,,,
Admin,2020-12-26,NV,334,333,24893,24827,1978,1980,,,1,13,0
Report,2020-12-26,NV,,,,,,,1122,2201,,,
Admin,2020-12-27,NV,1035,1032,25928,25859,1983,1986,,,0,13,0
Report,2020-12-27,NV,,,,,,,386,1852,,,
Admin,2020-12-28,NV,2719,2701,28647,28560,1822,1826,,,8,21,1
Report,2020-12-28,NV,,,,,,,380,1746,,,
Admin,2020-12-29,NV,5178,5124,33825,33684,2001,2013,,,4,25,2
Report,2020-12-29,NV,,,,,,,643,1697,,,
Admin,2020-12-30,NV,5800,5656,39625,39340,2284,2315,,,24,49,5
Report,2020-12-30,NV,,,,,,,1547,1467,,,
Admin,2020-12-31,NV,2293,2230,41918,41570,2445,2485,,,3,52,5
Report,2020-12-31,NV,,,,,,,2526,1357,,,
Admin,2021-01-01,NV,52,52,41970,41622,2447,2487,,,0,52,5
Report,2021-01-01,NV,,,,,,,3749,1479,,,
