Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:19:05 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,RI,,,,,,,0,0,,,
Admin,2020-12-14,RI,116,116,117,117,59,58,,,0,0,0
Report,2020-12-14,RI,,,,,,,0,0,,,
Admin,2020-12-15,RI,434,434,551,551,184,183,,,1,1,0
Report,2020-12-15,RI,,,,,,,0,0,,,
Admin,2020-12-16,RI,436,436,987,987,247,246,,,0,1,0
Report,2020-12-16,RI,,,,,,,104,26,,,
Admin,2020-12-17,RI,368,368,1355,1355,271,271,,,0,1,0
Report,2020-12-17,RI,,,,,,,8,22,,,
Admin,2020-12-18,RI,1696,1696,3051,3051,509,508,,,0,1,0
Report,2020-12-18,RI,,,,,,,407,87,,,
Admin,2020-12-19,RI,1187,1187,4238,4238,605,605,,,0,1,0
Report,2020-12-19,RI,,,,,,,535,151,,,
Admin,2020-12-20,RI,823,823,5061,5061,723,722,,,0,1,0
Report,2020-12-20,RI,,,,,,,1157,316,,,
Admin,2020-12-21,RI,1834,1834,6895,6895,968,968,,,0,1,0
Report,2020-12-21,RI,,,,,,,1049,466,,,
Admin,2020-12-22,RI,1639,1639,8534,8534,1140,1140,,,0,1,0
Report,2020-12-22,RI,,,,,,,1085,621,,,
Admin,2020-12-23,RI,1802,1801,10336,10335,1335,1335,,,1,2,0
Report,2020-12-23,RI,,,,,,,1471,816,,,
Admin,2020-12-24,RI,707,707,11043,11042,1384,1384,,,0,2,0
Report,2020-12-24,RI,,,,,,,834,934,,,
Admin,2020-12-25,RI,4,4,11047,11046,1142,1142,,,0,2,0
Report,2020-12-25,RI,,,,,,,2233,1195,,,
Admin,2020-12-26,RI,992,992,12039,12038,1114,1114,,,0,2,0
Report,2020-12-26,RI,,,,,,,0,1118,,,
Admin,2020-12-27,RI,873,873,12912,12911,1121,1121,,,0,2,0
Report,2020-12-27,RI,,,,,,,1412,1155,,,
Admin,2020-12-28,RI,3776,3776,16688,16687,1399,1399,,,0,2,0
Report,2020-12-28,RI,,,,,,,344,1054,,,
Admin,2020-12-29,RI,3334,3333,20022,20020,1641,1641,,,0,2,0
Report,2020-12-29,RI,,,,,,,801,1014,,,
Admin,2020-12-30,RI,3468,3468,23490,23488,1879,1879,,,0,2,0
Report,2020-12-30,RI,,,,,,,1086,959,,,
Admin,2020-12-31,RI,929,929,24419,24417,1911,1910,,,0,2,0
Report,2020-12-31,RI,,,,,,,640,931,,,
