Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:10:17 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,AL,,,,,,,0,0,,,
Admin,2020-12-14,AL,1,1,293,292,146,146,,,0,2,1
Report,2020-12-14,AL,,,,,,,0,0,,,
Admin,2020-12-15,AL,219,219,512,511,170,170,,,0,2,0
Report,2020-12-15,AL,,,,,,,0,0,,,
Admin,2020-12-16,AL,2386,2385,2898,2896,724,724,,,1,3,0
Report,2020-12-16,AL,,,,,,,0,0,,,
Admin,2020-12-17,AL,2383,2256,5281,5152,1030,1056,,,125,128,25
Report,2020-12-17,AL,,,,,,,193,39,,,
Admin,2020-12-18,AL,3615,3605,8896,8757,1460,1482,,,8,136,22
Report,2020-12-18,AL,,,,,,,1454,275,,,
Admin,2020-12-19,AL,465,460,9361,9217,1317,1337,,,5,141,20
Report,2020-12-19,AL,,,,,,,1505,450,,,
Admin,2020-12-20,AL,1318,1312,10679,10529,1463,1483,,,6,147,20
Report,2020-12-20,AL,,,,,,,2615,824,,,
Admin,2020-12-21,AL,3488,3485,14167,14014,1960,1982,,,1,148,20
Report,2020-12-21,AL,,,,,,,685,922,,,
Admin,2020-12-22,AL,4001,3980,18168,17994,2498,2522,,,19,167,23
Report,2020-12-22,AL,,,,,,,931,1055,,,
Admin,2020-12-23,AL,4303,4286,22471,22280,2769,2796,,,16,183,25
Report,2020-12-23,AL,,,,,,,2090,1353,,,
Admin,2020-12-24,AL,529,522,23000,22802,2521,2531,,,7,190,8
Report,2020-12-24,AL,,,,,,,6384,2238,,,
Admin,2020-12-25,AL,5,5,23005,22807,2007,2015,,,0,190,7
Report,2020-12-25,AL,,,,,,,0,2030,,,
Admin,2020-12-26,AL,547,547,23552,23354,2020,2027,,,0,190,7
Report,2020-12-26,AL,,,,,,,509,1888,,,
Admin,2020-12-27,AL,546,544,24098,23898,1910,1917,,,2,192,6
Report,2020-12-27,AL,,,,,,,506,1586,,,
Admin,2020-12-28,AL,5326,5318,29424,29216,2172,2179,,,7,199,7
Report,2020-12-28,AL,,,,,,,0,1489,,,
Admin,2020-12-29,AL,7640,7608,37064,36824,2690,2699,,,30,229,8
Report,2020-12-29,AL,,,,,,,412,1414,,,
Admin,2020-12-30,AL,8467,8452,45531,45276,3285,3294,,,13,242,8
Report,2020-12-30,AL,,,,,,,9427,2463,,,
Admin,2020-12-31,AL,4164,4091,49695,49367,3795,3813,,,71,313,17
Report,2020-12-31,AL,,,,,,,0,1551,,,
Admin,2021-01-01,AL,905,843,50600,50210,3915,3942,,,85,398,29
Report,2021-01-01,AL,,,,,,,9477,2904,,,
Admin,2021-01-02,AL,137,133,50737,50343,3856,3883,,,4,402,30
Report,2021-01-02,AL,,,,,,,3049,3267,,,
Admin,2021-01-03,AL,819,817,51556,51160,3895,3922,,,2,404,30
Report,2021-01-03,AL,,,,,,,209,3225,,,
Admin,2021-01-04,AL,5739,5639,57295,56799,3940,3981,,,97,501,43
Report,2021-01-04,AL,,,,,,,118,3242,,,
Admin,2021-01-05,AL,8337,7891,65632,64690,3981,4081,,,440,941,101
Report,2021-01-05,AL,,,,,,,714,3285,,,
Admin,2021-01-06,AL,11914,9607,77546,74297,4146,4573,,,2262,3203,423
Report,2021-01-06,AL,,,,,,,3002,2367,,,
Admin,2021-01-07,AL,11328,8992,88874,83289,4846,5597,,,2220,5423,730
Report,2021-01-07,AL,,,,,,,5608,3168,,,
Admin,2021-01-08,AL,9811,6748,98685,90037,5690,6869,,,3039,8462,1152
Report,2021-01-08,AL,,,,,,,8217,2988,,,
Admin,2021-01-09,AL,1719,1324,100404,91361,5860,7095,,,390,8852,1207
Report,2021-01-09,AL,,,,,,,9074,3849,,,
Admin,2021-01-10,AL,2045,1074,102449,92435,5896,7270,,,966,9818,1344
Report,2021-01-10,AL,,,,,,,8410,5020,,,
Admin,2021-01-11,AL,10759,7769,113208,100204,6201,7987,,,2964,12782,1754
Report,2021-01-11,AL,,,,,,,1939,5281,,,
Admin,2021-01-12,AL,12929,10046,126137,110250,6509,8643,,,2850,15632,2098
Report,2021-01-12,AL,,,,,,,1606,5408,,,
Admin,2021-01-13,AL,12583,10357,138720,120607,6616,8739,,,2209,17841,2091
Report,2021-01-13,AL,,,,,,,5906,5823,,,
Admin,2021-01-14,AL,13723,12850,152443,133457,7167,9081,,,861,18702,1897
Report,2021-01-14,AL,,,,,,,8260,6202,,,
Admin,2021-01-15,AL,9701,9043,162144,142500,7495,9065,,,648,19350,1555
Report,2021-01-15,AL,,,,,,,8267,6209,,,
Admin,2021-01-16,AL,4304,3987,166448,146487,7875,9434,,,313,19663,1544
Report,2021-01-16,AL,,,,,,,14461,6978,,,
Admin,2021-01-17,AL,1226,800,167674,147287,7836,9317,,,423,20086,1466
Report,2021-01-17,AL,,,,,,,8967,7058,,,
Admin,2021-01-18,AL,25305,22523,192979,169810,9944,11395,,,2727,22813,1433
Report,2021-01-18,AL,,,,,,,5595,7580,,,
Admin,2021-01-19,AL,19870,15924,212849,185734,10783,12387,,,3907,26720,1584
Report,2021-01-19,AL,,,,,,,1205,7523,,,
Admin,2021-01-20,AL,20742,16515,233591,202249,11663,13553,,,4171,30891,1864
Report,2021-01-20,AL,,,,,,,8405,7880,,,
Admin,2021-01-21,AL,22971,21021,256562,223270,12830,14874,,,1903,32794,2013
Report,2021-01-21,AL,,,,,,,26719,10517,,,
Admin,2021-01-22,AL,19546,17863,276108,241133,14090,16280,,,1648,34442,2156
Report,2021-01-22,AL,,,,,,,33395,14107,,,
Admin,2021-01-23,AL,3731,3607,279839,244740,14036,16198,,,103,34545,2126
Report,2021-01-23,AL,,,,,,,22226,15216,,,
Admin,2021-01-24,AL,1626,1224,281465,245964,14097,16255,,,394,34939,2121
Report,2021-01-24,AL,,,,,,,22197,17106,,,
Admin,2021-01-25,AL,17561,12743,299026,258707,12700,15149,,,4774,39713,2414
Report,2021-01-25,AL,,,,,,,6875,17289,,,
Admin,2021-01-26,AL,22130,16264,321156,274971,12748,15472,,,5782,45495,2682
Report,2021-01-26,AL,,,,,,,4347,17738,,,
Admin,2021-01-27,AL,23154,16263,344310,291234,12712,15817,,,6824,52319,3061
Report,2021-01-27,AL,,,,,,,11485,18178,,,
Admin,2021-01-28,AL,26342,21049,370652,312283,12716,16298,,,5235,57554,3537
Report,2021-01-28,AL,,,,,,,12549,16153,,,
Admin,2021-01-29,AL,21805,17576,392457,329859,12675,16621,,,4173,61727,3897
Report,2021-01-29,AL,,,,,,,21922,14514,,,
Admin,2021-01-30,AL,3603,3322,396060,333181,12634,16603,,,276,62003,3922
Report,2021-01-30,AL,,,,,,,41521,17271,,,
Admin,2021-01-31,AL,2917,2338,398977,335519,12794,16787,,,564,62567,3946
Report,2021-01-31,AL,,,,,,,11538,15748,,,
Admin,2021-02-01,AL,18303,13188,417280,348707,12857,16893,,,4976,67543,3975
Report,2021-02-01,AL,,,,,,,4306,15381,,,
Admin,2021-02-02,AL,23162,15671,440442,364378,12772,17040,,,7360,74903,4201
Report,2021-02-02,AL,,,,,,,13602,16703,,,
Admin,2021-02-03,AL,25095,17193,465537,381571,12905,17318,,,7767,82670,4335
Report,2021-02-03,AL,,,,,,,16457,17414,,,
Admin,2021-02-04,AL,26255,17210,491792,398781,12357,17305,,,8872,91542,4855
Report,2021-02-04,AL,,,,,,,20089,18491,,,
Admin,2021-02-05,AL,22950,14761,514742,413542,11955,17469,,,8023,99565,5405
Report,2021-02-05,AL,,,,,,,22169,18526,,,
Admin,2021-02-06,AL,7367,5572,522109,419114,12276,18007,,,1771,101336,5619
Report,2021-02-06,AL,,,,,,,24576,16105,,,
Admin,2021-02-07,AL,2665,1943,524774,421057,12220,17971,,,717,102053,5640
Report,2021-02-07,AL,,,,,,,7159,15480,,,
Admin,2021-02-08,AL,29646,21490,554420,442547,13406,19591,,,7888,109941,6056
Report,2021-02-08,AL,,,,,,,5304,15622,,,
Admin,2021-02-09,AL,32076,21163,586496,463710,14190,20864,,,10667,120608,6529
Report,2021-02-09,AL,,,,,,,23333,17012,,,
Admin,2021-02-10,AL,34683,23350,621179,487060,15070,22234,,,11090,131698,7004
Report,2021-02-10,AL,,,,,,,24833,18209,,,
Admin,2021-02-11,AL,32198,19125,653377,506185,15343,23083,,,12896,144594,7578
Report,2021-02-11,AL,,,,,,,27435,19258,,,
Admin,2021-02-12,AL,31000,20566,684377,526751,16173,24233,,,10302,154896,7904
Report,2021-02-12,AL,,,,,,,27878,20074,,,
