Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:14:34 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,IL,,,,,,,0,0,,,
Admin,2020-12-14,IL,21,20,606,581,291,303,,,1,21,10
Report,2020-12-14,IL,,,,,,,0,0,,,
Admin,2020-12-15,IL,1004,587,1610,1168,389,536,,,0,21,7
Report,2020-12-15,IL,,,,,,,0,0,,,
Admin,2020-12-16,IL,5930,4449,7540,5617,1404,1885,,,8,29,7
Report,2020-12-16,IL,,,,,,,0,0,,,
Admin,2020-12-17,IL,23843,20987,31383,26604,5321,6276,,,32,61,12
Report,2020-12-17,IL,,,,,,,0,0,,,
Admin,2020-12-18,IL,35440,32096,66823,58700,9783,11137,,,73,134,22
Report,2020-12-18,IL,,,,,,,2076,346,,,
Admin,2020-12-19,IL,18289,16985,85112,75685,10812,12158,,,64,198,28
Report,2020-12-19,IL,,,,,,,34047,5160,,,
Admin,2020-12-20,IL,8839,7707,93951,83392,11833,13338,,,54,252,33
Report,2020-12-20,IL,,,,,,,13911,7148,,,
Admin,2020-12-21,IL,17162,15392,111113,98784,14029,15786,,,74,326,43
Report,2020-12-21,IL,,,,,,,7570,8229,,,
Admin,2020-12-22,IL,10708,10071,121821,108855,15384,17173,,,213,539,74
Report,2020-12-22,IL,,,,,,,12589,10028,,,
Admin,2020-12-23,IL,11953,11221,133774,120076,16351,18033,,,52,591,80
Report,2020-12-23,IL,,,,,,,9896,11441,,,
Admin,2020-12-24,IL,4501,4032,138275,124108,13929,15270,,,20,611,78
Report,2020-12-24,IL,,,,,,,0,11441,,,
Admin,2020-12-25,IL,272,267,138547,124375,9382,10246,,,4,615,68
Report,2020-12-25,IL,,,,,,,17285,13614,,,
Admin,2020-12-26,IL,2837,2741,141384,127116,7347,8038,,,16,631,61
Report,2020-12-26,IL,,,,,,,0,8750,,,
Admin,2020-12-27,IL,974,951,142358,128067,6382,6915,,,16,647,56
Report,2020-12-27,IL,,,,,,,1568,6987,,,
Admin,2020-12-28,IL,15664,14392,158022,142459,6239,6701,,,97,744,59
Report,2020-12-28,IL,,,,,,,2670,6287,,,
Admin,2020-12-29,IL,30973,28609,188995,171068,8888,9596,,,159,903,52
Report,2020-12-29,IL,,,,,,,5900,5331,,,
Admin,2020-12-30,IL,30199,28034,219194,199102,11289,12202,,,137,1040,64
Report,2020-12-30,IL,,,,,,,19427,6693,,,
Admin,2020-12-31,IL,13067,12248,232261,211350,12463,13426,,,76,1116,72
Report,2020-12-31,IL,,,,,,,21921,9824,,,
Admin,2021-01-01,IL,2224,2028,234485,213378,12715,13705,,,164,1280,95
Report,2021-01-01,IL,,,,,,,15613,9586,,,
Admin,2021-01-02,IL,8234,8055,242719,221433,13474,14476,,,54,1334,100
Report,2021-01-02,IL,,,,,,,309,9630,,,
Admin,2021-01-03,IL,4341,4203,247060,225636,13938,14957,,,110,1444,113
Report,2021-01-03,IL,,,,,,,6191,10290,,,
Admin,2021-01-04,IL,19139,18417,266199,244053,14513,15453,,,568,2012,181
Report,2021-01-04,IL,,,,,,,6920,10897,,,
Admin,2021-01-05,IL,25436,24382,291635,268435,13910,14662,,,853,2865,280
Report,2021-01-05,IL,,,,,,,13084,11924,,,
Admin,2021-01-06,IL,25495,19055,317130,287490,12627,13990,,,6112,8977,1133
Report,2021-01-06,IL,,,,,,,23385,12489,,,
Admin,2021-01-07,IL,47936,20284,365066,307774,13775,18972,,,26574,35551,4919
Report,2021-01-07,IL,,,,,,,21324,12404,,,
Admin,2021-01-08,IL,50912,21721,415978,329495,16588,25927,,,28270,63821,8934
Report,2021-01-08,IL,,,,,,,30773,14569,,,
Admin,2021-01-09,IL,19854,7604,435832,337099,16524,27587,,,12039,75860,10646
Report,2021-01-09,IL,,,,,,,1840,14788,,,
