Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:14:57 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,KS,,,,,,,0,0,,,
Admin,2020-12-14,KS,164,164,218,217,109,109,,,0,2,1
Report,2020-12-14,KS,,,,,,,0,0,,,
Admin,2020-12-15,KS,377,369,595,586,195,198,,,1,3,1
Report,2020-12-15,KS,,,,,,,0,0,,,
Admin,2020-12-16,KS,2779,2720,3374,3306,827,843,,,2,5,1
Report,2020-12-16,KS,,,,,,,19,5,,,
Admin,2020-12-17,KS,6390,6128,9764,9434,1887,1952,,,11,16,3
Report,2020-12-17,KS,,,,,,,168,37,,,
Admin,2020-12-18,KS,7511,7287,17275,16721,2787,2879,,,18,34,5
Report,2020-12-18,KS,,,,,,,154,57,,,
Admin,2020-12-19,KS,1508,1482,18783,18203,2600,2683,,,5,39,5
Report,2020-12-19,KS,,,,,,,1778,303,,,
Admin,2020-12-20,KS,994,964,19777,19167,2731,2817,,,6,45,6
Report,2020-12-20,KS,,,,,,,2327,635,,,
Admin,2020-12-21,KS,3506,3427,23283,22594,3197,3295,,,23,68,9
Report,2020-12-21,KS,,,,,,,127,653,,,
Admin,2020-12-22,KS,3756,3691,27039,26285,3671,3777,,,7,75,10
Report,2020-12-22,KS,,,,,,,196,681,,,
Admin,2020-12-23,KS,4783,4499,31822,30784,3925,4064,,,12,87,11
Report,2020-12-23,KS,,,,,,,351,729,,,
Admin,2020-12-24,KS,544,540,32366,31324,3127,3228,,,0,87,10
Report,2020-12-24,KS,,,,,,,3702,1234,,,
Admin,2020-12-25,KS,3,3,32369,31327,2087,2156,,,0,87,7
Report,2020-12-25,KS,,,,,,,1744,1461,,,
Admin,2020-12-26,KS,510,504,32879,31831,1947,2013,,,0,87,6
Report,2020-12-26,KS,,,,,,,1,1207,,,
Admin,2020-12-27,KS,73,72,32952,31903,1819,1882,,,1,88,6
Report,2020-12-27,KS,,,,,,,0,874,,,
Admin,2020-12-28,KS,4396,4317,37348,36220,1947,2009,,,11,99,4
Report,2020-12-28,KS,,,,,,,0,856,,,
Admin,2020-12-29,KS,4952,4898,42300,41118,2119,2180,,,8,107,4
Report,2020-12-29,KS,,,,,,,159,851,,,
Admin,2020-12-30,KS,8825,8756,51125,49874,2727,2757,,,17,124,5
Report,2020-12-30,KS,,,,,,,1438,1006,,,
Admin,2020-12-31,KS,4780,4708,55905,54582,3323,3362,,,18,142,7
Report,2020-12-31,KS,,,,,,,1544,698,,,
Admin,2021-01-01,KS,348,333,56253,54915,3370,3412,,,31,173,12
Report,2021-01-01,KS,,,,,,,2071,745,,,
Admin,2021-01-02,KS,2495,2407,58748,57322,3642,3695,,,4,177,12
Report,2021-01-02,KS,,,,,,,3857,1296,,,
Admin,2021-01-03,KS,619,617,59367,57939,3719,3773,,,2,179,13
Report,2021-01-03,KS,,,,,,,183,1322,,,
Admin,2021-01-04,KS,4898,4307,64265,62246,3718,3845,,,485,664,80
Report,2021-01-04,KS,,,,,,,291,1363,,,
Admin,2021-01-05,KS,10806,8869,75071,71115,4285,4681,,,1783,2447,334
Report,2021-01-05,KS,,,,,,,48,1347,,,
Admin,2021-01-06,KS,12333,8452,87404,79567,4242,5182,,,3636,6083,851
Report,2021-01-06,KS,,,,,,,11780,2825,,,
Admin,2021-01-07,KS,15700,9234,103104,88801,4888,6742,,,6082,12165,1717
Report,2021-01-07,KS,,,,,,,4600,3261,,,
Admin,2021-01-08,KS,14568,7812,117672,96613,5957,8774,,,6607,18772,2657
