Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:10:52 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,AZ,,,,,,,0,0,,,
Admin,2020-12-14,AZ,28,28,435,373,187,217,,,0,65,32
Report,2020-12-14,AZ,,,,,,,0,0,,,
Admin,2020-12-15,AZ,334,334,769,707,236,256,,,2,67,22
Report,2020-12-15,AZ,,,,,,,0,0,,,
Admin,2020-12-16,AZ,1466,1459,2235,2166,542,558,,,0,67,16
Report,2020-12-16,AZ,,,,,,,0,0,,,
Admin,2020-12-17,AZ,4608,4596,6843,6762,1352,1368,,,7,74,14
Report,2020-12-17,AZ,,,,,,,3,1,,,
Admin,2020-12-18,AZ,4943,4918,11786,11680,1947,1964,,,12,86,14
Report,2020-12-18,AZ,,,,,,,0,1,,,
Admin,2020-12-19,AZ,2430,2417,14216,14097,2014,2030,,,11,97,13
Report,2020-12-19,AZ,,,,,,,1531,219,,,
Admin,2020-12-20,AZ,965,959,15181,15056,2102,2110,,,5,102,5
Report,2020-12-20,AZ,,,,,,,2797,619,,,
Admin,2020-12-21,AZ,6148,6116,21329,21172,2971,2984,,,29,131,9
Report,2020-12-21,AZ,,,,,,,2447,968,,,
Admin,2020-12-22,AZ,8678,8620,30007,29792,4155,4176,,,21,152,12
Report,2020-12-22,AZ,,,,,,,1087,1124,,,
Admin,2020-12-23,AZ,11119,10934,41126,40726,5509,5555,,,70,222,22
Report,2020-12-23,AZ,,,,,,,3768,1662,,,
Admin,2020-12-24,AZ,4400,4355,45526,45081,5474,5526,,,42,264,27
Report,2020-12-24,AZ,,,,,,,5068,2385,,,
Admin,2020-12-25,AZ,140,139,45666,45220,4791,4840,,,1,265,25
Report,2020-12-25,AZ,,,,,,,5824,3217,,,
Admin,2020-12-26,AZ,5842,5815,51508,51035,5277,5327,,,22,287,27
Report,2020-12-26,AZ,,,,,,,3056,3435,,,
Admin,2020-12-27,AZ,2339,2327,53847,53362,5472,5523,,,12,299,28
Report,2020-12-27,AZ,,,,,,,227,3068,,,
Admin,2020-12-28,AZ,10253,10147,64100,63509,6048,6110,,,59,358,32
Report,2020-12-28,AZ,,,,,,,4029,3294,,,
Admin,2020-12-29,AZ,14602,14415,78702,77924,6876,6956,,,169,527,53
Report,2020-12-29,AZ,,,,,,,1554,3361,,,
Admin,2020-12-30,AZ,16728,16559,95430,94483,7680,7757,,,110,637,59
Report,2020-12-30,AZ,,,,,,,5755,3645,,,
Admin,2020-12-31,AZ,8885,8800,104315,103283,8315,8398,,,47,684,60
Report,2020-12-31,AZ,,,,,,,6521,3852,,,
Admin,2021-01-01,AZ,1746,1565,106061,104848,8518,8627,,,181,865,85
Report,2021-01-01,AZ,,,,,,,8985,4304,,,
Admin,2021-01-02,AZ,6257,6212,112318,111060,8575,8687,,,41,906,88
Report,2021-01-02,AZ,,,,,,,6447,4788,,,
Admin,2021-01-03,AZ,2715,2678,115033,113738,8625,8740,,,35,941,91
Report,2021-01-03,AZ,,,,,,,1680,4996,,,
Admin,2021-01-04,AZ,10176,9470,125209,123208,8528,8729,,,641,1582,174
Report,2021-01-04,AZ,,,,,,,5280,5175,,,
Admin,2021-01-05,AZ,11341,10313,136550,133521,7942,8264,,,914,2496,281
Report,2021-01-05,AZ,,,,,,,2648,5331,,,
Admin,2021-01-06,AZ,15044,13379,151594,146900,7488,8023,,,1470,3966,475
Report,2021-01-06,AZ,,,,,,,6976,5505,,,
Admin,2021-01-07,AZ,16338,12494,167932,159394,8016,9088,,,3720,7686,1000
Report,2021-01-07,AZ,,,,,,,12583,6371,,,
Admin,2021-01-08,AZ,14504,10225,182436,169619,9253,10910,,,4188,11874,1572
Report,2021-01-08,AZ,,,,,,,18021,7662,,,
Admin,2021-01-09,AZ,8107,5978,190543,175597,9220,11175,,,2105,13979,1867
Report,2021-01-09,AZ,,,,,,,9677,8124,,,
Admin,2021-01-10,AZ,3143,2229,193686,177826,9155,11236,,,909,14888,1992
Report,2021-01-10,AZ,,,,,,,12956,9734,,,
Admin,2021-01-11,AZ,17763,12637,211449,190463,9608,12320,,,5059,19947,2623
Report,2021-01-11,AZ,,,,,,,8940,10257,,,
Admin,2021-01-12,AZ,28255,20476,239704,210939,11060,14736,,,5248,25195,3242
Report,2021-01-12,AZ,,,,,,,3495,10378,,,
Admin,2021-01-13,AZ,28707,23138,268411,234077,12454,16688,,,5338,30533,3795
Report,2021-01-13,AZ,,,,,,,13390,11295,,,
Admin,2021-01-14,AZ,29204,25602,297615,259679,14326,18526,,,3436,33969,3754
Report,2021-01-14,AZ,,,,,,,18920,12200,,,
Admin,2021-01-15,AZ,28964,26116,326579,285795,16597,20591,,,2591,36560,3526
Report,2021-01-15,AZ,,,,,,,23421,12971,,,
Admin,2021-01-16,AZ,17359,12189,343938,297984,17484,21913,,,3399,39959,3711
Report,2021-01-16,AZ,,,,,,,22210,14762,,,
