Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:11:32 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,CT,,,,,,,0,0,,,
Admin,2020-12-14,CT,30,29,238,220,110,119,,,0,11,5
Report,2020-12-14,CT,,,,,,,0,0,,,
Admin,2020-12-15,CT,445,444,683,664,221,227,,,0,11,3
Report,2020-12-15,CT,,,,,,,343,114,,,
Admin,2020-12-16,CT,1592,1578,2275,2242,561,568,,,12,23,5
Report,2020-12-16,CT,,,,,,,848,298,,,
Admin,2020-12-17,CT,1696,1683,3971,3925,785,794,,,4,27,5
Report,2020-12-17,CT,,,,,,,1599,558,,,
Admin,2020-12-18,CT,4340,4304,8311,8229,1372,1385,,,13,40,6
Report,2020-12-18,CT,,,,,,,2433,871,,,
Admin,2020-12-19,CT,1255,1249,9566,9478,1354,1366,,,4,44,6
Report,2020-12-19,CT,,,,,,,2010,1033,,,
Admin,2020-12-20,CT,597,593,10163,10071,1411,1422,,,1,45,4
Report,2020-12-20,CT,,,,,,,0,1033,,,
Admin,2020-12-21,CT,5084,5066,15247,15137,2131,2144,,,7,52,5
Report,2020-12-21,CT,,,,,,,1997,1319,,,
Admin,2020-12-22,CT,7795,7736,23042,22873,3173,3194,,,6,58,6
Report,2020-12-22,CT,,,,,,,3807,1813,,,
Admin,2020-12-23,CT,8723,8669,31765,31542,4186,4212,,,8,66,6
Report,2020-12-23,CT,,,,,,,6117,2566,,,
Admin,2020-12-24,CT,3646,3633,35411,35175,4464,4491,,,10,76,7
Report,2020-12-24,CT,,,,,,,1525,2556,,,
Admin,2020-12-25,CT,259,258,35670,35433,3886,3908,,,1,77,5
Report,2020-12-25,CT,,,,,,,8264,3389,,,
Admin,2020-12-26,CT,4367,4349,40037,39782,4329,4353,,,16,93,7
Report,2020-12-26,CT,,,,,,,3367,3582,,,
Admin,2020-12-27,CT,2174,2169,42211,41951,4554,4578,,,4,97,7
Report,2020-12-27,CT,,,,,,,81,3594,,,
Admin,2020-12-28,CT,10706,10470,52917,52421,5326,5381,,,21,118,9
Report,2020-12-28,CT,,,,,,,5905,4152,,,
Admin,2020-12-29,CT,10926,10797,63843,63218,5764,5828,,,104,222,23
Report,2020-12-29,CT,,,,,,,11863,5303,,,
Admin,2020-12-30,CT,12250,12136,76093,75354,6259,6332,,,104,326,37
Report,2020-12-30,CT,,,,,,,9968,5853,,,
Admin,2020-12-31,CT,5629,5483,81722,80837,6523,6615,,,139,465,55
Report,2020-12-31,CT,,,,,,,7913,6766,,,
Admin,2021-01-01,CT,701,677,82423,81514,6583,6679,,,19,484,58
Report,2021-01-01,CT,,,,,,,30,5590,,,
Admin,2021-01-02,CT,3429,3401,85852,84915,6448,6545,,,8,492,57
Report,2021-01-02,CT,,,,,,,7175,6134,,,
Admin,2021-01-03,CT,2217,2157,88069,87072,6446,6551,,,11,503,58
Report,2021-01-03,CT,,,,,,,1997,6407,,,
Admin,2021-01-04,CT,7550,7408,95619,94480,6008,6100,,,104,607,69
Report,2021-01-04,CT,,,,,,,3157,6015,,,
Admin,2021-01-05,CT,10479,9390,106098,103870,5807,6036,,,979,1586,194
Report,2021-01-05,CT,,,,,,,8185,5489,,,
Admin,2021-01-06,CT,16624,14475,122722,118345,6142,6661,,,1451,3037,387
Report,2021-01-06,CT,,,,,,,13447,5986,,,
Admin,2021-01-07,CT,15274,12733,137996,131078,7177,8039,,,2297,5334,695
Report,2021-01-07,CT,,,,,,,7185,5882,,,
Admin,2021-01-08,CT,15292,11147,153288,142225,8673,10123,,,3760,9094,1230
Report,2021-01-08,CT,,,,,,,15523,8096,,,
Admin,2021-01-09,CT,5614,4377,158902,146602,8812,10435,,,1181,10275,1397
Report,2021-01-09,CT,,,,,,,1627,7303,,,
Admin,2021-01-10,CT,2873,2339,161775,148941,8838,10529,,,511,10786,1469
Report,2021-01-10,CT,,,,,,,11884,8715,,,
Admin,2021-01-11,CT,12665,7777,174440,156718,8891,11260,,,4257,15043,2062
Report,2021-01-11,CT,,,,,,,9474,9618,,,
Admin,2021-01-12,CT,17495,11294,191935,168012,9163,12262,,,4488,19531,2563
Report,2021-01-12,CT,,,,,,,5222,9195,,,
Admin,2021-01-13,CT,16696,11696,208631,179708,8766,12272,,,4425,23956,2988
Report,2021-01-13,CT,,,,,,,10023,8705,,,
Admin,2021-01-14,CT,14181,12475,222812,192183,8729,12116,,,1352,25308,2853
Report,2021-01-14,CT,,,,,,,17116,10124,,,
Admin,2021-01-15,CT,12759,11558,235571,203741,8788,11754,,,1079,26387,2470
Report,2021-01-15,CT,,,,,,,7206,8936,,,
Admin,2021-01-16,CT,7238,5244,242809,208985,8912,11986,,,1662,28049,2539
Report,2021-01-16,CT,,,,,,,20434,11623,,,
Admin,2021-01-17,CT,3839,2722,246648,211707,8967,12124,,,932,28981,2599
Report,2021-01-17,CT,,,,,,,1213,10098,,,
Admin,2021-01-18,CT,12306,9847,258954,221554,9262,12073,,,2097,31078,2290
Report,2021-01-18,CT,,,,,,,13749,10709,,,
Admin,2021-01-19,CT,17600,13448,276554,235002,9570,12088,,,3971,35049,2216
Report,2021-01-19,CT,,,,,,,8392,11162,,,
Admin,2021-01-20,CT,24228,18747,300782,253749,10577,13164,,,5053,40102,2306
Report,2021-01-20,CT,,,,,,,12061,11453,,,
