Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:10:33 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,AK,,,,,,,0,0,,,
Admin,2020-12-14,AK,2,2,34,34,17,17,,,0,0,0
Report,2020-12-14,AK,,,,,,,0,0,,,
Admin,2020-12-15,AK,129,129,163,163,54,54,,,0,0,0
Report,2020-12-15,AK,,,,,,,0,0,,,
Admin,2020-12-16,AK,1202,1200,1365,1363,341,341,,,1,1,0
Report,2020-12-16,AK,,,,,,,0,0,,,
Admin,2020-12-17,AK,2376,2347,3741,3710,742,748,,,4,5,1
Report,2020-12-17,AK,,,,,,,2,0,,,
Admin,2020-12-18,AK,3154,3145,6895,6855,1143,1149,,,3,8,1
Report,2020-12-18,AK,,,,,,,0,0,,,
Admin,2020-12-19,AK,895,890,7790,7745,1106,1112,,,5,13,1
Report,2020-12-19,AK,,,,,,,1605,230,,,
Admin,2020-12-20,AK,401,401,8191,8146,1159,1165,,,0,13,1
Report,2020-12-20,AK,,,,,,,2632,606,,,
Admin,2020-12-21,AK,2380,2369,10571,10515,1497,1505,,,5,18,2
Report,2020-12-21,AK,,,,,,,886,732,,,
Admin,2020-12-22,AK,1420,1396,11991,11911,1678,1689,,,22,40,5
Report,2020-12-22,AK,,,,,,,490,802,,,
Admin,2020-12-23,AK,2336,2307,14327,14218,1836,1851,,,24,64,9
Report,2020-12-23,AK,,,,,,,1207,975,,,
Admin,2020-12-24,AK,434,433,14761,14651,1563,1574,,,1,65,8
Report,2020-12-24,AK,,,,,,,1756,1225,,,
Admin,2020-12-25,AK,1,1,14762,14652,1114,1123,,,0,65,8
Report,2020-12-25,AK,,,,,,,2034,1516,,,
Admin,2020-12-26,AK,145,145,14907,14797,1007,1016,,,0,65,7
Report,2020-12-26,AK,,,,,,,815,1403,,,
Admin,2020-12-27,AK,14,14,14921,14811,952,961,,,0,65,7
Report,2020-12-27,AK,,,,,,,0,1027,,,
Admin,2020-12-28,AK,1721,1711,16642,16522,858,867,,,7,72,7
Report,2020-12-28,AK,,,,,,,220,932,,,
Admin,2020-12-29,AK,2367,2340,19009,18862,993,1002,,,23,95,7
Report,2020-12-29,AK,,,,,,,133,881,,,
Admin,2020-12-30,AK,2602,2594,21611,21456,1034,1040,,,7,102,5
Report,2020-12-30,AK,,,,,,,1127,869,,,
Admin,2020-12-31,AK,1552,1547,23163,23003,1193,1200,,,5,107,6
Report,2020-12-31,AK,,,,,,,1643,853,,,
Admin,2021-01-01,AK,125,121,23288,23124,1210,1218,,,4,111,6
Report,2021-01-01,AK,,,,,,,1954,842,,,
Admin,2021-01-02,AK,228,221,23516,23345,1221,1229,,,7,118,7
Report,2021-01-02,AK,,,,,,,1897,996,,,
Admin,2021-01-03,AK,153,153,23669,23498,1241,1249,,,0,118,7
Report,2021-01-03,AK,,,,,,,283,1037,,,
Admin,2021-01-04,AK,2241,1904,25910,25402,1269,1324,,,336,454,54
Report,2021-01-04,AK,,,,,,,253,1041,,,
Admin,2021-01-05,AK,2955,2261,28865,27663,1257,1408,,,687,1141,149
Report,2021-01-05,AK,,,,,,,113,1039,,,
Admin,2021-01-06,AK,4834,3257,33699,30920,1352,1726,,,1572,2713,373
Report,2021-01-06,AK,,,,,,,1056,1028,,,
Admin,2021-01-07,AK,5667,3504,39366,34424,1632,2314,,,2144,4857,678
