Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:21:38 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,WY,,,,,,,0,0,,,
Admin,2020-12-14,WY,2,2,313,312,156,156,,,0,1,0
Report,2020-12-14,WY,,,,,,,0,0,,,
Admin,2020-12-15,WY,14,14,327,326,109,109,,,0,1,0
Report,2020-12-15,WY,,,,,,,0,0,,,
Admin,2020-12-16,WY,352,350,679,676,169,169,,,1,2,0
Report,2020-12-16,WY,,,,,,,0,0,,,
Admin,2020-12-17,WY,626,624,1305,1300,260,261,,,1,3,0
Report,2020-12-17,WY,,,,,,,336,67,,,
Admin,2020-12-18,WY,1008,1004,2313,2304,384,385,,,3,6,1
Report,2020-12-18,WY,,,,,,,0,56,,,
Admin,2020-12-19,WY,7,7,2320,2311,330,331,,,0,6,0
Report,2020-12-19,WY,,,,,,,546,126,,,
Admin,2020-12-20,WY,13,13,2333,2324,288,288,,,0,6,0
Report,2020-12-20,WY,,,,,,,673,222,,,
Admin,2020-12-21,WY,531,529,2864,2853,363,364,,,2,8,1
Report,2020-12-21,WY,,,,,,,0,222,,,
Admin,2020-12-22,WY,553,552,3417,3405,440,441,,,0,8,1
Report,2020-12-22,WY,,,,,,,0,222,,,
Admin,2020-12-23,WY,1018,1016,4435,4421,535,536,,,1,9,1
Report,2020-12-23,WY,,,,,,,0,222,,,
Admin,2020-12-24,WY,237,212,4672,4633,476,481,,,16,25,3
Report,2020-12-24,WY,,,,,,,553,253,,,
Admin,2020-12-25,WY,1,0,4673,4633,333,337,,,1,26,2
Report,2020-12-25,WY,,,,,,,834,372,,,
Admin,2020-12-26,WY,21,20,4694,4653,335,339,,,1,27,3
Report,2020-12-26,WY,,,,,,,0,294,,,
Admin,2020-12-27,WY,20,20,4714,4673,336,340,,,0,27,3
Report,2020-12-27,WY,,,,,,,0,198,,,
Admin,2020-12-28,WY,1238,1199,5952,5872,431,441,,,3,30,3
Report,2020-12-28,WY,,,,,,,293,240,,,
Admin,2020-12-29,WY,1453,1421,7405,7293,555,569,,,12,42,4
Report,2020-12-29,WY,,,,,,,0,240,,,
Admin,2020-12-30,WY,1969,1955,9374,9248,690,705,,,3,45,5
Report,2020-12-30,WY,,,,,,,874,365,,,
Admin,2020-12-31,WY,880,848,10254,10096,780,797,,,1,46,3
Report,2020-12-31,WY,,,,,,,654,379,,,
Admin,2021-01-01,WY,22,20,10276,10116,783,800,,,3,49,3
Report,2021-01-01,WY,,,,,,,2093,559,,,
Admin,2021-01-02,WY,99,99,10375,10215,795,811,,,0,49,3
Report,2021-01-02,WY,,,,,,,700,659,,,
Admin,2021-01-03,WY,33,33,10408,10248,796,813,,,0,49,3
Report,2021-01-03,WY,,,,,,,0,659,,,
Admin,2021-01-04,WY,770,765,11178,11013,734,746,,,4,53,3
Report,2021-01-04,WY,,,,,,,98,631,,,
Admin,2021-01-05,WY,1261,1198,12439,12211,703,719,,,62,115,10
Report,2021-01-05,WY,,,,,,,0,631,,,
Admin,2021-01-06,WY,2885,2549,15324,14760,787,850,,,326,441,56
Report,2021-01-06,WY,,,,,,,706,607,,,
Admin,2021-01-07,WY,2688,2114,18012,16874,968,1108,,,561,1002,136
Report,2021-01-07,WY,,,,,,,964,652,,,
Admin,2021-01-08,WY,3408,2549,21420,19423,1330,1592,,,799,1801,250
Report,2021-01-08,WY,,,,,,,1467,562,,,
Admin,2021-01-09,WY,886,770,22306,20193,1425,1704,,,114,1915,266
Report,2021-01-09,WY,,,,,,,2231,781,,,
Admin,2021-01-10,WY,80,77,22386,20270,1432,1711,,,3,1918,267
Report,2021-01-10,WY,,,,,,,0,781,,,
Admin,2021-01-11,WY,1823,1280,24209,21550,1505,1861,,,515,2433,340
Report,2021-01-11,WY,,,,,,,3445,1259,,,
Admin,2021-01-12,WY,2804,2240,27013,23790,1654,2082,,,504,2937,403
Report,2021-01-12,WY,,,,,,,0,1259,,,
Admin,2021-01-13,WY,3445,2719,30458,26509,1678,2162,,,682,3619,454
Report,2021-01-13,WY,,,,,,,1327,1348,,,
Admin,2021-01-14,WY,3180,2826,33638,29335,1780,2232,,,315,3934,418
Report,2021-01-14,WY,,,,,,,4951,1917,,,
Admin,2021-01-15,WY,2568,2419,36206,31754,1762,2112,,,105,4039,319
Report,2021-01-15,WY,,,,,,,3149,2158,,,
Admin,2021-01-16,WY,403,401,36609,32155,1709,2043,,,1,4040,303
Report,2021-01-16,WY,,,,,,,0,1839,,,
Admin,2021-01-17,WY,9,5,36618,32160,1699,2033,,,1,4041,303
Report,2021-01-17,WY,,,,,,,2163,2148,,,
Admin,2021-01-18,WY,1407,1160,38025,33320,1681,1973,,,227,4268,262
Report,2021-01-18,WY,,,,,,,0,1656,,,
Admin,2021-01-19,WY,3763,2963,41788,36283,1785,2110,,,779,5047,301
Report,2021-01-19,WY,,,,,,,1252,1835,,,
Admin,2021-01-20,WY,3139,2442,44927,38725,1745,2067,,,666,5713,299
Report,2021-01-20,WY,,,,,,,0,1645,,,
Admin,2021-01-21,WY,3746,3274,48673,41999,1809,2147,,,454,6167,319
Report,2021-01-21,WY,,,,,,,0,938,,,
Admin,2021-01-22,WY,3615,3261,52288,45260,1929,2297,,,273,6440,343
Report,2021-01-22,WY,,,,,,,5238,1236,,,
Admin,2021-01-23,WY,585,572,52873,45832,1954,2323,,,11,6451,344
Report,2021-01-23,WY,,,,,,,3012,1666,,,
Admin,2021-01-24,WY,59,56,52932,45888,1961,2330,,,1,6452,344
Report,2021-01-24,WY,,,,,,,3244,1821,,,
Admin,2021-01-25,WY,2170,1380,55102,47268,1993,2439,,,755,7207,419
Report,2021-01-25,WY,,,,,,,353,1871,,,
