Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:16:15 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,MT,,,,,,,0,0,,,
Admin,2020-12-14,MT,15,14,154,151,76,77,,,1,4,2
Report,2020-12-14,MT,,,,,,,0,0,,,
Admin,2020-12-15,MT,507,505,661,656,219,220,,,1,5,1
Report,2020-12-15,MT,,,,,,,0,0,,,
Admin,2020-12-16,MT,909,908,1570,1564,391,392,,,0,5,1
Report,2020-12-16,MT,,,,,,,444,111,,,
Admin,2020-12-17,MT,2991,2961,4561,4525,905,912,,,8,13,2
Report,2020-12-17,MT,,,,,,,687,226,,,
Admin,2020-12-18,MT,3045,3027,7606,7552,1259,1267,,,5,18,3
Report,2020-12-18,MT,,,,,,,0,189,,,
Admin,2020-12-19,MT,576,572,8182,8124,1161,1168,,,1,19,2
Report,2020-12-19,MT,,,,,,,1884,431,,,
Admin,2020-12-20,MT,141,137,8323,8261,1161,1169,,,4,23,2
Report,2020-12-20,MT,,,,,,,2243,751,,,
Admin,2020-12-21,MT,1184,1174,9507,9435,1326,1336,,,0,23,2
Report,2020-12-21,MT,,,,,,,608,838,,,
Admin,2020-12-22,MT,1364,1324,10871,10759,1443,1458,,,26,49,6
Report,2020-12-22,MT,,,,,,,0,838,,,
Admin,2020-12-23,MT,4486,4436,15357,15195,1947,1969,,,24,73,9
Report,2020-12-23,MT,,,,,,,1738,1023,,,
Admin,2020-12-24,MT,807,801,16164,15996,1639,1657,,,3,76,9
Report,2020-12-24,MT,,,,,,,1281,1108,,,
Admin,2020-12-25,MT,18,18,16182,16014,1209,1225,,,0,76,8
Report,2020-12-25,MT,,,,,,,3161,1559,,,
Admin,2020-12-26,MT,144,143,16326,16157,1148,1163,,,1,77,8
Report,2020-12-26,MT,,,,,,,910,1420,,,
Admin,2020-12-27,MT,33,32,16359,16189,1133,1148,,,1,78,7
Report,2020-12-27,MT,,,,,,,171,1124,,,
Admin,2020-12-28,MT,2916,2868,19275,19057,1375,1395,,,29,107,12
Report,2020-12-28,MT,,,,,,,135,1057,,,
Admin,2020-12-29,MT,3995,3875,23270,22932,1739,1771,,,29,136,12
Report,2020-12-29,MT,,,,,,,135,1076,,,
Admin,2020-12-30,MT,4459,4398,27729,27330,1734,1767,,,45,181,15
Report,2020-12-30,MT,,,,,,,1843,1091,,,
Admin,2020-12-31,MT,1594,1557,29323,28887,1842,1879,,,10,191,16
Report,2020-12-31,MT,,,,,,,2271,1232,,,
Admin,2021-01-01,MT,300,272,29623,29159,1878,1920,,,30,221,20
Report,2021-01-01,MT,,,,,,,3383,1264,,,
Admin,2021-01-02,MT,442,440,30065,29599,1920,1962,,,2,223,20
Report,2021-01-02,MT,,,,,,,2034,1425,,,
Admin,2021-01-03,MT,102,100,30167,29699,1930,1972,,,2,225,21
Report,2021-01-03,MT,,,,,,,91,1413,,,
Admin,2021-01-04,MT,2014,1824,32181,31523,1781,1843,,,181,406,42
Report,2021-01-04,MT,,,,,,,499,1465,,,
Admin,2021-01-05,MT,4325,3611,36506,35134,1743,1890,,,699,1105,138
Report,2021-01-05,MT,,,,,,,8,1447,,,
Admin,2021-01-06,MT,5745,4419,42251,39553,1746,2074,,,1190,2295,302
Report,2021-01-06,MT,,,,,,,1048,1333,,,
Admin,2021-01-07,MT,5911,3785,48162,43338,2064,2691,,,2092,4387,599
Report,2021-01-07,MT,,,,,,,3119,1455,,,
Admin,2021-01-08,MT,4769,2670,52931,46008,2407,3329,,,2071,6458,891
Report,2021-01-08,MT,,,,,,,3751,1507,,,
Admin,2021-01-09,MT,988,673,53919,46681,2440,3407,,,309,6767,934
Report,2021-01-09,MT,,,,,,,5019,1934,,,
Admin,2021-01-10,MT,440,289,54359,46970,2467,3456,,,150,6917,956
Report,2021-01-10,MT,,,,,,,4107,2507,,,
Admin,2021-01-11,MT,2325,950,56684,47920,2342,3500,,,1356,8273,1123
Report,2021-01-11,MT,,,,,,,1133,2598,,,
Admin,2021-01-12,MT,3182,2085,59866,50005,2124,3337,,,1076,9349,1177
Report,2021-01-12,MT,,,,,,,380,2651,,,
Admin,2021-01-13,MT,4021,3223,63887,53228,1954,3090,,,770,10119,1117
Report,2021-01-13,MT,,,,,,,1980,2784,,,
Admin,2021-01-14,MT,4022,3740,67909,56968,1947,2821,,,261,10380,856
Report,2021-01-14,MT,,,,,,,2557,2704,,,
Admin,2021-01-15,MT,3318,3008,71227,59976,1995,2613,,,288,10668,601
Report,2021-01-15,MT,,,,,,,5314,2927,,,
Admin,2021-01-16,MT,921,900,72148,60876,2028,2604,,,17,10685,559
Report,2021-01-16,MT,,,,,,,0,2210,,,
Admin,2021-01-17,MT,112,109,72260,60985,2002,2557,,,3,10688,538
Report,2021-01-17,MT,,,,,,,2623,1998,,,
Admin,2021-01-18,MT,1756,1164,74016,62149,2033,2476,,,565,11253,425
Report,2021-01-18,MT,,,,,,,1030,1983,,,
Admin,2021-01-19,MT,4123,2956,78139,65105,2157,2610,,,1125,12378,432
Report,2021-01-19,MT,,,,,,,306,1973,,,
Admin,2021-01-20,MT,7732,4442,85871,69547,2331,3140,,,3239,15617,785
Report,2021-01-20,MT,,,,,,,1327,1880,,,
Admin,2021-01-21,MT,7326,5823,93197,75370,2629,3612,,,1444,17061,954
Report,2021-01-21,MT,,,,,,,3169,1967,,,
Admin,2021-01-22,MT,4205,3326,97402,78696,2674,3739,,,834,17895,1032
Report,2021-01-22,MT,,,,,,,5959,2059,,,
Admin,2021-01-23,MT,1286,1171,98688,79867,2713,3791,,,113,18008,1046
Report,2021-01-23,MT,,,,,,,6196,2944,,,
Admin,2021-01-24,MT,356,295,99044,80162,2740,3826,,,55,18063,1053
Report,2021-01-24,MT,,,,,,,4046,3148,,,
Admin,2021-01-25,MT,4926,2310,103970,82472,2903,4279,,,2555,20618,1337
Report,2021-01-25,MT,,,,,,,766,3110,,,
Admin,2021-01-26,MT,5981,2603,109951,85075,2853,4544,,,3339,23957,1654
Report,2021-01-26,MT,,,,,,,392,3122,,,
Admin,2021-01-27,MT,8208,4478,118159,89553,2858,4612,,,3618,27575,1708
Report,2021-01-27,MT,,,,,,,3421,3421,,,
Admin,2021-01-28,MT,7888,5068,126047,94621,2750,4692,,,2755,30330,1895
Report,2021-01-28,MT,,,,,,,5044,3689,,,
Admin,2021-01-29,MT,6902,4900,132949,99521,2975,5078,,,1804,32134,2034
Report,2021-01-29,MT,,,,,,,6376,3749,,,
Admin,2021-01-30,MT,1451,1019,134400,100540,2953,5101,,,414,32548,2077
Report,2021-01-30,MT,,,,,,,6683,3818,,,
Admin,2021-01-31,MT,1171,885,135571,101425,3038,5218,,,187,32735,2096
Report,2021-01-31,MT,,,,,,,5253,3991,,,
Admin,2021-02-01,MT,3768,2354,139339,103779,3044,5052,,,1359,34094,1925
Report,2021-02-01,MT,,,,,,,1620,4113,,,
Admin,2021-02-02,MT,6279,3505,145618,107284,3173,5095,,,2730,36824,1838
Report,2021-02-02,MT,,,,,,,1179,4225,,,
Admin,2021-02-03,MT,8879,5904,154497,113188,3376,5191,,,2910,39734,1737
Report,2021-02-03,MT,,,,,,,3050,4172,,,
Admin,2021-02-04,MT,9847,5591,164344,118779,3451,5471,,,4142,43876,1935
Report,2021-02-04,MT,,,,,,,5774,4276,,,
Admin,2021-02-05,MT,7931,4662,172275,123441,3417,5618,,,3158,47034,2128
Report,2021-02-05,MT,,,,,,,6388,4278,,,
Admin,2021-02-06,MT,2531,1830,174806,125271,3533,5772,,,665,47699,2164
Report,2021-02-06,MT,,,,,,,8347,4516,,,
Admin,2021-02-07,MT,1104,875,175910,126146,3532,5762,,,196,47895,2165
Report,2021-02-07,MT,,,,,,,6882,4749,,,
Admin,2021-02-08,MT,2816,1684,178726,127830,3436,5626,,,1026,48921,2118
Report,2021-02-08,MT,,,,,,,1508,4733,,,
Admin,2021-02-09,MT,7361,4651,186087,132481,3600,5781,,,2583,51504,2097
Report,2021-02-09,MT,,,,,,,851,4686,,,
Admin,2021-02-10,MT,11285,8026,197372,140507,3903,6125,,,3191,54695,2137
Report,2021-02-10,MT,,,,,,,4219,4853,,,
Admin,2021-02-11,MT,11172,6934,208544,147441,4095,6314,,,4088,58783,2129
Report,2021-02-11,MT,,,,,,,4996,4742,,,
Admin,2021-02-12,MT,10755,7216,219299,154657,4459,6717,,,3461,62244,2172
Report,2021-02-12,MT,,,,,,,8356,5023,,,
Admin,2021-02-13,MT,4155,2956,223454,157613,4620,6949,,,1159,63403,2243
Report,2021-02-13,MT,,,,,,,9665,5211,,,
Admin,2021-02-14,MT,1313,1164,224767,158777,4662,6979,,,140,63543,2235
Report,2021-02-14,MT,,,,,,,9450,5578,,,
Admin,2021-02-15,MT,3814,1990,228581,160767,4705,7122,,,1753,65296,2339
Report,2021-02-15,MT,,,,,,,3475,5859,,,
Admin,2021-02-16,MT,6809,4037,235390,164804,4618,7043,,,2587,67883,2339
Report,2021-02-16,MT,,,,,,,1380,5934,,,
Admin,2021-02-17,MT,8903,5060,244293,169864,4194,6703,,,3761,71644,2421
Report,2021-02-17,MT,,,,,,,2914,5748,,,
Admin,2021-02-18,MT,11081,6014,255374,175878,4062,6690,,,4975,76619,2548
Report,2021-02-18,MT,,,,,,,5491,5819,,,
Admin,2021-02-19,MT,7106,2856,262480,178734,3440,6168,,,4164,80783,2648
Report,2021-02-19,MT,,,,,,,31155,9076,,,
Admin,2021-02-20,MT,1585,997,264065,179731,3160,5801,,,520,81303,2557
Report,2021-02-20,MT,,,,,,,7665,8790,,,
Admin,2021-02-21,MT,1479,380,265544,180111,3048,5825,,,1067,82370,2689
Report,2021-02-21,MT,,,,,,,8209,8613,,,
Admin,2021-02-22,MT,3414,1217,268958,181328,2937,5768,,,2125,84495,2742
Report,2021-02-22,MT,,,,,,,3715,8647,,,
Admin,2021-02-23,MT,5652,2693,274610,184021,2745,5602,,,2879,87374,2784
Report,2021-02-23,MT,,,,,,,2201,8764,,,
Admin,2021-02-24,MT,11097,6143,285707,190164,2900,5916,,,4889,92263,2945
Report,2021-02-24,MT,,,,,,,3611,8864,,,
Admin,2021-02-25,MT,11049,5184,296756,195348,2781,5911,,,5779,98042,3060
Report,2021-02-25,MT,,,,,,,5669,8889,,,
Admin,2021-02-26,MT,10671,5178,307427,200526,3113,6421,,,5234,103276,3213
Report,2021-02-26,MT,,,,,,,8695,5681,,,
Admin,2021-02-27,MT,3225,1722,310652,202248,3217,6655,,,1478,104754,3350
Report,2021-02-27,MT,,,,,,,10085,6026,,,
Admin,2021-02-28,MT,1423,354,312075,202602,3213,6647,,,1042,105796,3346
Report,2021-02-28,MT,,,,,,,10347,6332,,,
Admin,2021-03-01,MT,4827,3023,316902,205625,3471,6849,,,1708,107504,3287
Report,2021-03-01,MT,,,,,,,3257,6266,,,
Admin,2021-03-02,MT,10182,4756,327084,210381,3766,7496,,,5356,112860,3640
Report,2021-03-02,MT,,,,,,,1484,6164,,,
Admin,2021-03-03,MT,13480,7691,340564,218072,3987,7836,,,5782,118642,3768
Report,2021-03-03,MT,,,,,,,5409,6421,,,
Admin,2021-03-04,MT,14034,7016,354598,225088,4249,8263,,,6962,125604,3937
Report,2021-03-04,MT,,,,,,,9435,6959,,,
Admin,2021-03-05,MT,11646,5328,366244,230416,4270,8402,,,6456,132060,4112
Report,2021-03-05,MT,,,,,,,11289,7329,,,
Admin,2021-03-06,MT,3696,1597,369940,232013,4252,8469,,,2233,134293,4219
Report,2021-03-06,MT,,,,,,,11806,7575,,,
Admin,2021-03-07,MT,2322,1430,372262,233443,4406,8598,,,1058,135351,4222
Report,2021-03-07,MT,,,,,,,12903,7940,,,
Admin,2021-03-08,MT,7225,4875,379487,238318,4670,8940,,,3179,138530,4432
Report,2021-03-08,MT,,,,,,,4549,8125,,,
Admin,2021-03-09,MT,10662,6506,390149,244824,4920,9009,,,5161,143691,4404
Report,2021-03-09,MT,,,,,,,2043,8205,,,
