Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Sep 06 2021 18:15:20 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2020-12-13,ME,,,,,,,0,0,,,
Admin,2020-12-14,ME,2,2,152,149,75,76,,,0,4,2
Report,2020-12-14,ME,,,,,,,0,0,,,
Admin,2020-12-15,ME,165,165,317,314,105,105,,,0,4,1
Report,2020-12-15,ME,,,,,,,0,0,,,
Admin,2020-12-16,ME,1175,1173,1492,1487,372,373,,,1,5,1
Report,2020-12-16,ME,,,,,,,0,0,,,
Admin,2020-12-17,ME,1528,1525,3020,3012,602,604,,,0,5,1
Report,2020-12-17,ME,,,,,,,3,1,,,
Admin,2020-12-18,ME,1909,1898,4929,4910,818,821,,,1,6,1
Report,2020-12-18,ME,,,,,,,994,166,,,
Admin,2020-12-19,ME,318,318,5247,5228,747,749,,,0,6,0
Report,2020-12-19,ME,,,,,,,1265,323,,,
Admin,2020-12-20,ME,19,18,5266,5246,728,730,,,1,7,0
Report,2020-12-20,ME,,,,,,,1772,576,,,
Admin,2020-12-21,ME,1445,1443,6711,6689,934,937,,,2,9,0
Report,2020-12-21,ME,,,,,,,455,641,,,
Admin,2020-12-22,ME,3596,3583,10307,10272,1423,1427,,,7,16,1
Report,2020-12-22,ME,,,,,,,0,641,,,
Admin,2020-12-23,ME,6197,5873,16504,16145,2094,2144,,,8,24,2
Report,2020-12-23,ME,,,,,,,3062,1079,,,
Admin,2020-12-24,ME,2270,2258,18774,18403,2199,2250,,,7,31,3
Report,2020-12-24,ME,,,,,,,4407,1708,,,
Admin,2020-12-25,ME,29,28,18803,18431,1932,1982,,,1,32,3
Report,2020-12-25,ME,,,,,,,0,1566,,,
Admin,2020-12-26,ME,953,946,19756,19377,2021,2072,,,5,37,4
