State,Population,Vax_Population,Unvax_Population,Cases in Last 7 Days,7-Day Avg Total Doses Daily,Vaccine_Distribution_By_Unvax_Population,Vaccine_Distribution_By_Infection_Rate,Optimal_Distribution
Alaska,731158,400061,331097,3718.0,801.0,51,105,52.0
New York,19336776,13236154,6100622,31428.0,34831.0,948,894,948.0
